date,code,usdprice
#date,#meta+code,#value+usd
2018-07-15,Lunda Norte-Chitato-Kaxinde-Sugar (white)-KG-AOA,1.1858
2018-08-15,Lunda Norte-Chitato-Kaxinde-Sugar (white)-KG-AOA,1.1265
2018-09-15,Lunda Norte-Chitato-Kaxinde-Sugar (white)-KG-AOA,1.0512
2018-10-15,Lunda Norte-Chitato-Kaxinde-Sugar (white)-KG-AOA,0.8307
2018-11-15,Lunda Norte-Chitato-Kaxinde-Sugar (white)-KG-AOA,0.9703
2008-01-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",1.6721
2008-02-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",1.7291
2008-03-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",1.7418
2008-04-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",1.7594
2008-05-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",1.7923
2008-06-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",1.8728
2008-07-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",1.9142
2008-08-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.0296
2008-09-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.0465
2008-10-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.0859
2008-11-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.1768
2008-12-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.2372
2009-01-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.2442
2009-02-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.2503
2009-03-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.259
2009-04-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.264
2009-05-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.2714
2009-06-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.3098
2009-07-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.3394
2009-08-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.3417
2009-09-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.3538
2009-10-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.2937
2009-11-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.1306
2009-12-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.1754
2010-01-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.1246
2010-02-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.1351
2010-03-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.1977
2010-04-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.2011
2010-05-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.2326
2010-06-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.272
2010-07-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.2791
2010-08-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.3346
2010-09-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.4198
2010-10-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.4188
2010-11-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.4136
2010-12-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.5107
2011-01-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.4846
2011-02-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.4772
2011-03-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.5355
2011-04-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.5747
2011-05-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.6338
2011-06-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.66
2011-07-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.6824
2011-08-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.7213
2011-09-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.7046
2011-10-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.6826
2011-11-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.7034
2011-12-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.7253
2012-01-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.7526
2012-02-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.7534
2012-03-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.7943
2012-04-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.8347
2012-05-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.8499
2012-06-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.8702
2012-07-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.8962
2012-08-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.9062
2012-09-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.9156
2012-10-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.9178
2012-11-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.9244
2012-12-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.9253
2013-01-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.9261
2013-02-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.9297
2013-03-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.9391
2013-04-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.9603
2013-05-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.9632
2013-06-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.9682
2013-07-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.985
2013-08-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.9949
2013-09-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.9849
2013-10-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.966
2013-11-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.9654
2013-12-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.965
2014-01-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.9657
2014-02-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.965
2014-03-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.971
2014-04-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.9764
2014-05-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.9822
2014-06-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.9838
2014-07-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.9906
2014-08-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.9922
2014-09-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.9788
2014-10-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.9689
2014-11-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.9223
2014-12-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.8817
2015-01-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.8568
2015-02-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.8231
2015-03-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.7889
2015-04-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.7572
2015-05-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.7469
2015-06-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.627
2015-07-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.4837
2015-08-15,"Luanda-Luanda-Luanda-Rice (regular, milled)-900 G-AOA",2.4595
