date,code,usdprice
#date,#meta+code,#value+usd
2011-04-15,Yerevan-Yerevan-Yerevan-Wheat flour-KG-AMD,0.8109
2011-05-15,Yerevan-Yerevan-Yerevan-Wheat flour-KG-AMD,0.723
2011-06-15,Yerevan-Yerevan-Yerevan-Wheat flour-KG-AMD,0.7242
2011-07-15,Yerevan-Yerevan-Yerevan-Wheat flour-KG-AMD,0.7372
2011-08-15,Yerevan-Yerevan-Yerevan-Wheat flour-KG-AMD,0.7388
2011-09-15,Yerevan-Yerevan-Yerevan-Wheat flour-KG-AMD,0.6084
2011-10-15,Yerevan-Yerevan-Yerevan-Wheat flour-KG-AMD,0.5989
2011-11-15,Yerevan-Yerevan-Yerevan-Wheat flour-KG-AMD,0.591
2011-12-15,Yerevan-Yerevan-Yerevan-Wheat flour-KG-AMD,0.5994
2012-01-15,Yerevan-Yerevan-Yerevan-Wheat flour-KG-AMD,0.6084
2012-02-15,Yerevan-Yerevan-Yerevan-Wheat flour-KG-AMD,0.606
2012-03-15,Yerevan-Yerevan-Yerevan-Wheat flour-KG-AMD,0.5774
2012-04-15,Yerevan-Yerevan-Yerevan-Wheat flour-KG-AMD,0.6387
2012-05-15,Yerevan-Yerevan-Yerevan-Wheat flour-KG-AMD,0.6144
2012-06-15,Yerevan-Yerevan-Yerevan-Wheat flour-KG-AMD,0.607
2012-07-15,Yerevan-Yerevan-Yerevan-Wheat flour-KG-AMD,0.6417
2012-08-15,Yerevan-Yerevan-Yerevan-Wheat flour-KG-AMD,0.6494
2012-09-15,Yerevan-Yerevan-Yerevan-Wheat flour-KG-AMD,0.675
2012-10-15,Yerevan-Yerevan-Yerevan-Wheat flour-KG-AMD,0.7022
2012-11-15,Yerevan-Yerevan-Yerevan-Wheat flour-KG-AMD,0.703
2012-12-15,Yerevan-Yerevan-Yerevan-Wheat flour-KG-AMD,0.7046
2013-01-15,Yerevan-Yerevan-Yerevan-Wheat flour-KG-AMD,0.7036
2013-02-15,Yerevan-Yerevan-Yerevan-Wheat flour-KG-AMD,0.6985
2013-03-15,Yerevan-Yerevan-Yerevan-Wheat flour-KG-AMD,0.6888
2013-04-15,Yerevan-Yerevan-Yerevan-Wheat flour-KG-AMD,0.7594
2013-05-15,Yerevan-Yerevan-Yerevan-Wheat flour-KG-AMD,0.7005
2013-06-15,Yerevan-Yerevan-Yerevan-Wheat flour-KG-AMD,0.7254
2013-07-15,Yerevan-Yerevan-Yerevan-Wheat flour-KG-AMD,0.732
2013-08-15,Yerevan-Yerevan-Yerevan-Wheat flour-KG-AMD,0.7352
2013-09-15,Yerevan-Yerevan-Yerevan-Wheat flour-KG-AMD,0.7393
2013-10-15,Yerevan-Yerevan-Yerevan-Wheat flour-KG-AMD,0.7404
2013-11-15,Yerevan-Yerevan-Yerevan-Wheat flour-KG-AMD,0.7244
2013-12-15,Yerevan-Yerevan-Yerevan-Wheat flour-KG-AMD,0.7412
2014-01-15,Yerevan-Yerevan-Yerevan-Wheat flour-KG-AMD,0.644
2014-02-15,Yerevan-Yerevan-Yerevan-Wheat flour-KG-AMD,0.6743
2014-03-15,Yerevan-Yerevan-Yerevan-Wheat flour-KG-AMD,0.7199
2014-04-15,Yerevan-Yerevan-Yerevan-Wheat flour-KG-AMD,0.6893
2014-05-15,Yerevan-Yerevan-Yerevan-Wheat flour-KG-AMD,0.6652
2014-06-15,Yerevan-Yerevan-Yerevan-Wheat flour-KG-AMD,0.6703
2014-07-15,Yerevan-Yerevan-Yerevan-Wheat flour-KG-AMD,0.7008
2014-08-15,Yerevan-Yerevan-Yerevan-Wheat flour-KG-AMD,0.6976
