date,code,usdprice
#date,#meta+code,#value+usd
2003-01-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.0543
2003-02-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.0745
2003-03-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.0672
2003-04-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.0926
2003-05-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.0935
2003-06-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.0512
2003-07-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.0464
2003-08-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.0451
2003-09-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.0447
2003-10-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.046
2003-11-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.0922
2003-12-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.096
2004-01-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.0763
2004-02-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.0821
2004-03-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.0667
2004-04-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.0477
2004-05-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.0454
2004-06-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.0521
2004-07-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.0472
2004-08-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.0589
2004-09-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.0946
2004-10-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.0947
2004-11-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.0955
2004-12-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.1131
2005-01-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.179
2005-02-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.1938
2005-03-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.1929
2005-04-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.1976
2005-05-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.1808
2005-06-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.1835
2005-07-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.198
2005-08-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.0965
2005-09-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.1013
2005-10-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.0974
2005-11-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.1633
2005-12-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.1422
2006-01-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.125
2006-02-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.1434
2006-03-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.2114
2006-04-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.1295
2006-05-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.2355
2006-06-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.1909
2006-07-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.1556
2006-08-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.176
2006-09-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.2144
2006-10-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.2079
2006-11-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.224
2006-12-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.2027
2007-01-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.2098
2007-02-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.1997
2007-03-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.1716
2007-04-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.1436
2007-05-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.0992
2007-06-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.0952
2007-07-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.0915
2007-08-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.092
2007-09-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.0902
2007-10-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.0902
2007-11-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.0901
2007-12-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.0662
2008-01-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.0749
2008-02-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.0691
2008-03-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.0641
2008-04-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.0712
2008-05-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.0668
2010-04-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.0962
2011-01-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.1622
2011-02-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.1151
2011-03-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.216
2011-04-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.2477
2011-05-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.2421
2011-06-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.3296
2011-07-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.1992
2011-08-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.1663
2011-09-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.1645
2011-10-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.156
2011-11-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.1918
2011-12-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.1837
2012-01-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.1456
2012-02-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.1731
2012-03-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.1938
2012-04-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.6143
2012-05-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.3801
2012-06-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.2206
2012-07-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.1951
2012-08-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.1765
2012-09-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.1614
2012-10-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.2047
2012-11-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.2142
2012-12-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.1962
2013-01-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.1494
2013-02-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.1934
2013-03-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.1932
2013-04-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.2086
2013-05-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.1161
2013-06-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.1222
2013-07-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.1588
2013-08-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.1821
2013-09-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.1949
2013-10-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.2281
2013-11-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.2295
2014-01-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.1963
2014-02-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.2513
2014-03-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.1567
2014-04-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.1507
2014-06-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.1248
2014-07-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.1328
2014-08-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.1401
2014-09-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.2293
2014-10-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.1396
2014-11-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.1291
2014-12-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.1518
2015-01-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.1952
2015-02-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.193
2015-03-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.1929
2015-04-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.2195
2015-05-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.2273
2015-06-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.283
2015-07-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.1266
2015-08-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.106
2015-09-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.1299
2015-10-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.1631
2015-11-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.2591
2015-12-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.1767
2016-01-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.2545
2016-02-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.2627
2016-03-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.2182
2016-04-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.2005
2016-05-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.195
2016-06-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.2035
2016-07-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.1951
2016-08-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.2503
2016-09-15,Ngozi-Ngozi-Ngozi-Sweet potatoes-KG-BIF,0.2848
