date,code,usdprice
#date,#meta+code,#value+usd
2008-01-15,La Paz-Murillo-La Paz City-Wheat flour (local)-46 KG-BOB,24.7496
2008-02-15,La Paz-Murillo-La Paz City-Wheat flour (local)-46 KG-BOB,26.2872
2008-03-15,La Paz-Murillo-La Paz City-Wheat flour (local)-46 KG-BOB,28.1867
2008-04-15,La Paz-Murillo-La Paz City-Wheat flour (local)-46 KG-BOB,31.1756
2008-05-15,La Paz-Murillo-La Paz City-Wheat flour (local)-46 KG-BOB,41.966
2008-06-15,La Paz-Murillo-La Paz City-Wheat flour (local)-46 KG-BOB,41.7796
2008-07-15,La Paz-Murillo-La Paz City-Wheat flour (local)-46 KG-BOB,41.3846
2008-08-15,La Paz-Murillo-La Paz City-Wheat flour (local)-46 KG-BOB,38.1556
2008-09-15,La Paz-Murillo-La Paz City-Wheat flour (local)-46 KG-BOB,38.3809
2008-10-15,La Paz-Murillo-La Paz City-Wheat flour (local)-46 KG-BOB,33.7022
2008-11-15,La Paz-Murillo-La Paz City-Wheat flour (local)-46 KG-BOB,29.1004
2008-12-15,La Paz-Murillo-La Paz City-Wheat flour (local)-46 KG-BOB,27.7959
2009-01-15,La Paz-Murillo-La Paz City-Wheat flour (local)-46 KG-BOB,26.3149
2009-02-15,La Paz-Murillo-La Paz City-Wheat flour (local)-46 KG-BOB,25.4573
2009-03-15,La Paz-Murillo-La Paz City-Wheat flour (local)-46 KG-BOB,25.537
2009-04-15,La Paz-Murillo-La Paz City-Wheat flour (local)-46 KG-BOB,25.7222
2009-05-15,La Paz-Murillo-La Paz City-Wheat flour (local)-46 KG-BOB,24.9012
2009-06-15,La Paz-Murillo-La Paz City-Wheat flour (local)-46 KG-BOB,24.8757
2009-07-15,La Paz-Murillo-La Paz City-Wheat flour (local)-46 KG-BOB,24.6216
2009-08-15,La Paz-Murillo-La Paz City-Wheat flour (local)-46 KG-BOB,24.2507
2009-09-15,La Paz-Murillo-La Paz City-Wheat flour (local)-46 KG-BOB,25.1933
2009-10-15,La Paz-Murillo-La Paz City-Wheat flour (local)-46 KG-BOB,25.2189
2009-11-15,La Paz-Murillo-La Paz City-Wheat flour (local)-46 KG-BOB,24.3989
2009-12-15,La Paz-Murillo-La Paz City-Wheat flour (local)-46 KG-BOB,25.0392
2010-01-15,La Paz-Murillo-La Paz City-Wheat flour (local)-46 KG-BOB,25.0374
2010-02-15,La Paz-Murillo-La Paz City-Wheat flour (local)-46 KG-BOB,25.1699
2010-03-15,La Paz-Murillo-La Paz City-Wheat flour (local)-46 KG-BOB,25.1236
2010-04-15,La Paz-Murillo-La Paz City-Wheat flour (local)-46 KG-BOB,25.0793
2010-05-15,La Paz-Murillo-La Paz City-Wheat flour (local)-46 KG-BOB,24.5584
2010-06-15,La Paz-Murillo-La Paz City-Wheat flour (local)-46 KG-BOB,25.5274
2010-07-15,La Paz-Murillo-La Paz City-Wheat flour (local)-46 KG-BOB,25.6747
2010-08-15,La Paz-Murillo-La Paz City-Wheat flour (local)-46 KG-BOB,25.4872
2010-09-15,La Paz-Murillo-La Paz City-Wheat flour (local)-46 KG-BOB,28.3057
2010-10-15,La Paz-Murillo-La Paz City-Wheat flour (local)-46 KG-BOB,28.7289
2010-11-15,La Paz-Murillo-La Paz City-Wheat flour (local)-46 KG-BOB,28.6907
2010-12-15,La Paz-Murillo-La Paz City-Wheat flour (local)-46 KG-BOB,28.7946
2011-01-15,La Paz-Murillo-La Paz City-Wheat flour (local)-46 KG-BOB,27.9056
2011-02-15,La Paz-Murillo-La Paz City-Wheat flour (local)-46 KG-BOB,28.4136
2011-03-15,La Paz-Murillo-La Paz City-Wheat flour (local)-46 KG-BOB,28.6837
2011-04-15,La Paz-Murillo-La Paz City-Wheat flour (local)-46 KG-BOB,29.7941
2011-05-15,La Paz-Murillo-La Paz City-Wheat flour (local)-46 KG-BOB,29.9193
2011-06-15,La Paz-Murillo-La Paz City-Wheat flour (local)-46 KG-BOB,30.1751
2011-07-15,La Paz-Murillo-La Paz City-Wheat flour (local)-46 KG-BOB,30.1284
2011-08-15,La Paz-Murillo-La Paz City-Wheat flour (local)-46 KG-BOB,30.3691
2011-09-15,La Paz-Murillo-La Paz City-Wheat flour (local)-46 KG-BOB,31.6898
2011-10-15,La Paz-Murillo-La Paz City-Wheat flour (local)-46 KG-BOB,32.25
2011-11-15,La Paz-Murillo-La Paz City-Wheat flour (local)-46 KG-BOB,31.9134
2011-12-15,La Paz-Murillo-La Paz City-Wheat flour (local)-46 KG-BOB,32.6584
2012-01-15,La Paz-Murillo-La Paz City-Wheat flour (local)-46 KG-BOB,30.6382
2012-02-15,La Paz-Murillo-La Paz City-Wheat flour (local)-46 KG-BOB,29.7646
2012-03-15,La Paz-Murillo-La Paz City-Wheat flour (local)-46 KG-BOB,29.5959
2012-04-15,La Paz-Murillo-La Paz City-Wheat flour (local)-46 KG-BOB,28.9146
2012-05-15,La Paz-Murillo-La Paz City-Wheat flour (local)-46 KG-BOB,29.2158
2012-06-15,La Paz-Murillo-La Paz City-Wheat flour (local)-46 KG-BOB,29.31
