date,code,usdprice
#date,#meta+code,#value+usd
2019-01-15,Chhukha-Phuentsholing-FCB Phuentsholing-Salt-KG-BTN,0.1114
2019-02-15,Chhukha-Phuentsholing-FCB Phuentsholing-Salt-KG-BTN,0.1102
2019-03-15,Chhukha-Phuentsholing-FCB Phuentsholing-Salt-KG-BTN,0.1117
2019-04-15,Chhukha-Phuentsholing-FCB Phuentsholing-Salt-KG-BTN,0.1128
2019-05-15,Chhukha-Phuentsholing-FCB Phuentsholing-Salt-KG-BTN,0.1123
2019-06-15,Chhukha-Phuentsholing-FCB Phuentsholing-Salt-KG-BTN,0.113
2019-07-15,Chhukha-Phuentsholing-FCB Phuentsholing-Salt-KG-BTN,0.1138
2019-08-15,Chhukha-Phuentsholing-FCB Phuentsholing-Salt-KG-BTN,0.1116
2019-09-15,Chhukha-Phuentsholing-FCB Phuentsholing-Salt-KG-BTN,0.1101
2019-10-15,Chhukha-Phuentsholing-FCB Phuentsholing-Salt-KG-BTN,0.1108
2019-11-15,Chhukha-Phuentsholing-FCB Phuentsholing-Salt-KG-BTN,0.11
2019-12-15,Chhukha-Phuentsholing-FCB Phuentsholing-Salt-KG-BTN,0.1096
2020-01-15,Chhukha-Phuentsholing-FCB Phuentsholing-Salt-KG-BTN,0.1119
2020-02-15,Chhukha-Phuentsholing-FCB Phuentsholing-Salt-KG-BTN,0.1112
2020-03-15,Chhukha-Phuentsholing-FCB Phuentsholing-Salt-KG-BTN,0.1084
2020-04-15,Chhukha-Phuentsholing-FCB Phuentsholing-Salt-KG-BTN,0.1173
2020-05-15,Chhukha-Phuentsholing-FCB Phuentsholing-Salt-KG-BTN,0.1172
2020-06-15,Chhukha-Phuentsholing-FCB Phuentsholing-Salt-KG-BTN,0.1168
2020-07-15,Chhukha-Phuentsholing-FCB Phuentsholing-Salt-KG-BTN,0.1175
2020-08-15,Chhukha-Phuentsholing-FCB Phuentsholing-Salt-KG-BTN,0.119
2020-09-15,Chhukha-Phuentsholing-FCB Phuentsholing-Salt-KG-BTN,0.1197
2020-10-15,Chhukha-Phuentsholing-FCB Phuentsholing-Salt-KG-BTN,0.1222
