date,code,usdprice
#date,#meta+code,#value+usd
2015-01-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,21.8712
2015-02-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,21.1328
2015-03-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,22.1396
2015-04-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,25.7823
2015-05-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,29.251
2015-06-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,28.3146
2015-07-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,23.37
2015-08-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,25.6879
2015-09-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,25.7021
2015-10-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,23.6596
2016-01-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,22.4828
2016-02-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,22.6489
2016-03-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,21.4974
2016-04-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,24.7363
2016-05-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,25.625
2016-06-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,26.7036
2016-07-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,26.4389
2016-08-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,24.5077
2016-09-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,27.4372
2016-10-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,21.911
2016-11-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,25.3782
2016-12-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,24.0844
2017-01-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,24.3388
2017-02-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,24.9919
2017-03-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,28.2984
2017-04-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,31.3091
2017-05-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,33.33
2017-06-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,34.1571
2017-07-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,42.3038
2017-11-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,35.9855
2017-12-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,32.3067
2018-01-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,43.7177
2018-02-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,33.8696
2018-03-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,33.9738
2018-04-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,33.4745
2018-05-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,32.8947
2018-06-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,36.0601
2018-07-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,35.6597
2018-08-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,34.7608
2018-09-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,26.5567
2018-10-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,21.1917
2018-11-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,21.4817
2018-12-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,20.8602
2019-01-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,20.81
2019-02-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,19.753
2019-03-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,21.5324
2019-04-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,22.4331
2019-05-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,18.8437
2019-06-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,20.6068
2019-07-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,18.0196
2019-08-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,17.8979
2019-09-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,18.3826
2019-10-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,15.1309
2019-11-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,16.7564
2019-12-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,20.3108
2020-01-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,20.3562
2020-02-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,20.1472
2020-03-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,20.0626
2020-04-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,20.0291
2020-05-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,19.7278
2020-06-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,24.1215
2020-07-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,31.2006
2020-08-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,29.0076
2020-09-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,31.2211
2020-10-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,35.7778
2020-11-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,28.8734
2020-12-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,30.6611
2021-01-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,31.4894
2021-02-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,31.373
2021-03-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,36.4452
2021-04-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,38.2683
2021-05-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,42.5643
2021-06-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,48.0324
2021-07-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,44.9848
2021-08-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,30.7455
2021-09-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,27.0065
2021-10-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,30.0968
2021-11-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,29.6673
2021-12-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,32.3444
2022-01-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,30.4235
2022-02-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,34.0421
2022-03-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,34.8973
2022-04-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,36.3594
2022-05-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,34.4137
2022-06-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,32.8823
2022-07-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,35.1159
2022-08-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,34.1312
2022-09-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,27.8431
2022-10-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,26.3685
2022-11-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,32.5938
2022-12-15,Extrême-Nord-Mayo-Tsanaga-Mokolo-Sorghum (red)-100 KG-XAF,35.3838
2015-01-15,Extrême-Nord-Diamaré-Maroua-Maize (white)-100 KG-XAF,28.6836
2015-02-15,Extrême-Nord-Diamaré-Maroua-Maize (white)-100 KG-XAF,30.926
2015-03-15,Extrême-Nord-Diamaré-Maroua-Maize (white)-100 KG-XAF,30.1904
2015-04-15,Extrême-Nord-Diamaré-Maroua-Maize (white)-100 KG-XAF,32.2279
2015-05-15,Extrême-Nord-Diamaré-Maroua-Maize (white)-100 KG-XAF,34.8226
2015-06-15,Extrême-Nord-Diamaré-Maroua-Maize (white)-100 KG-XAF,39.2311
2015-07-15,Extrême-Nord-Diamaré-Maroua-Maize (white)-100 KG-XAF,43.7136
2015-08-15,Extrême-Nord-Diamaré-Maroua-Maize (white)-100 KG-XAF,43.9398
2015-09-15,Extrême-Nord-Diamaré-Maroua-Maize (white)-100 KG-XAF,41.3993
2016-01-15,Extrême-Nord-Diamaré-Maroua-Maize (white)-100 KG-XAF,26.6462
2016-02-15,Extrême-Nord-Diamaré-Maroua-Maize (white)-100 KG-XAF,27.4532
2016-03-15,Extrême-Nord-Diamaré-Maroua-Maize (white)-100 KG-XAF,27.0833
2016-04-15,Extrême-Nord-Diamaré-Maroua-Maize (white)-100 KG-XAF,29.2026
2016-05-15,Extrême-Nord-Diamaré-Maroua-Maize (white)-100 KG-XAF,30.0965
2016-06-15,Extrême-Nord-Diamaré-Maroua-Maize (white)-100 KG-XAF,30.8119
2016-07-15,Extrême-Nord-Diamaré-Maroua-Maize (white)-100 KG-XAF,28.8116
2016-08-15,Extrême-Nord-Diamaré-Maroua-Maize (white)-100 KG-XAF,28.0818
2016-09-15,Extrême-Nord-Diamaré-Maroua-Maize (white)-100 KG-XAF,27.4372
2016-10-15,Extrême-Nord-Diamaré-Maroua-Maize (white)-100 KG-XAF,26.1247
2016-11-15,Extrême-Nord-Diamaré-Maroua-Maize (white)-100 KG-XAF,26.1969
2016-12-15,Extrême-Nord-Diamaré-Maroua-Maize (white)-100 KG-XAF,25.69
2017-01-15,Extrême-Nord-Diamaré-Maroua-Maize (white)-100 KG-XAF,27.584
2017-02-15,Extrême-Nord-Diamaré-Maroua-Maize (white)-100 KG-XAF,27.4105
2017-03-15,Extrême-Nord-Diamaré-Maroua-Maize (white)-100 KG-XAF,27.4899
2017-04-15,Extrême-Nord-Diamaré-Maroua-Maize (white)-100 KG-XAF,32.957
2017-05-15,Extrême-Nord-Diamaré-Maroua-Maize (white)-100 KG-XAF,33.33
2017-06-15,Extrême-Nord-Diamaré-Maroua-Maize (white)-100 KG-XAF,35.8649
2017-07-15,Extrême-Nord-Diamaré-Maroua-Maize (white)-100 KG-XAF,40.5411
2017-08-15,Extrême-Nord-Diamaré-Maroua-Maize (white)-100 KG-XAF,50.2774
