date,code,usdprice
#date,#meta+code,#value+usd
2005-01-15,Pichincha-Quito-Quito-Rice (long grain)-KG-USD,0.63
2005-02-15,Pichincha-Quito-Quito-Rice (long grain)-KG-USD,0.63
2005-03-15,Pichincha-Quito-Quito-Rice (long grain)-KG-USD,0.67
2005-04-15,Pichincha-Quito-Quito-Rice (long grain)-KG-USD,0.62
2005-05-15,Pichincha-Quito-Quito-Rice (long grain)-KG-USD,0.6
2005-06-15,Pichincha-Quito-Quito-Rice (long grain)-KG-USD,0.58
2005-07-15,Pichincha-Quito-Quito-Rice (long grain)-KG-USD,0.58
2005-08-15,Pichincha-Quito-Quito-Rice (long grain)-KG-USD,0.58
2005-09-15,Pichincha-Quito-Quito-Rice (long grain)-KG-USD,0.56
2005-10-15,Pichincha-Quito-Quito-Rice (long grain)-KG-USD,0.58
2005-11-15,Pichincha-Quito-Quito-Rice (long grain)-KG-USD,0.59
2005-12-15,Pichincha-Quito-Quito-Rice (long grain)-KG-USD,0.57
2006-01-15,Pichincha-Quito-Quito-Rice (long grain)-KG-USD,0.56
2006-02-15,Pichincha-Quito-Quito-Rice (long grain)-KG-USD,0.57
2006-03-15,Pichincha-Quito-Quito-Rice (long grain)-KG-USD,0.56
2006-04-15,Pichincha-Quito-Quito-Rice (long grain)-KG-USD,0.58
2006-05-15,Pichincha-Quito-Quito-Rice (long grain)-KG-USD,0.55
2006-06-15,Pichincha-Quito-Quito-Rice (long grain)-KG-USD,0.56
2006-07-15,Pichincha-Quito-Quito-Rice (long grain)-KG-USD,0.56
2006-08-15,Pichincha-Quito-Quito-Rice (long grain)-KG-USD,0.54
2006-09-15,Pichincha-Quito-Quito-Rice (long grain)-KG-USD,0.54
2006-10-15,Pichincha-Quito-Quito-Rice (long grain)-KG-USD,0.56
2006-11-15,Pichincha-Quito-Quito-Rice (long grain)-KG-USD,0.57
2006-12-15,Pichincha-Quito-Quito-Rice (long grain)-KG-USD,0.58
2007-01-15,Pichincha-Quito-Quito-Rice (long grain)-KG-USD,0.56
2007-02-15,Pichincha-Quito-Quito-Rice (long grain)-KG-USD,0.59
2007-03-15,Pichincha-Quito-Quito-Rice (long grain)-KG-USD,0.57
