date,code,usdprice
#date,#meta+code,#value+usd
2007-04-15,Maekel-Southern Merab-Asmara-Chickpeas-100 KG-ERN,182.1138
2007-05-15,Maekel-Southern Merab-Asmara-Chickpeas-100 KG-ERN,169.1057
2007-06-15,Maekel-Southern Merab-Asmara-Chickpeas-100 KG-ERN,162.6016
2007-07-15,Maekel-Southern Merab-Asmara-Chickpeas-100 KG-ERN,175.6098
2007-08-15,Maekel-Southern Merab-Asmara-Chickpeas-100 KG-ERN,182.1138
2007-09-15,Maekel-Southern Merab-Asmara-Chickpeas-100 KG-ERN,188.6179
2007-10-15,Maekel-Southern Merab-Asmara-Chickpeas-100 KG-ERN,169.1057
2007-11-15,Maekel-Southern Merab-Asmara-Chickpeas-100 KG-ERN,175.6098
2007-12-15,Maekel-Southern Merab-Asmara-Chickpeas-100 KG-ERN,182.1138
2008-01-15,Maekel-Southern Merab-Asmara-Chickpeas-100 KG-ERN,162.6016
2008-02-15,Maekel-Southern Merab-Asmara-Chickpeas-100 KG-ERN,162.6016
2008-03-15,Maekel-Southern Merab-Asmara-Chickpeas-100 KG-ERN,169.1057
2008-04-15,Maekel-Southern Merab-Asmara-Chickpeas-100 KG-ERN,169.1057
2008-05-15,Maekel-Southern Merab-Asmara-Chickpeas-100 KG-ERN,169.1057
2008-06-15,Maekel-Southern Merab-Asmara-Chickpeas-100 KG-ERN,182.1138
2008-07-15,Maekel-Southern Merab-Asmara-Chickpeas-100 KG-ERN,195.122
2008-08-15,Maekel-Southern Merab-Asmara-Chickpeas-100 KG-ERN,195.122
2008-09-15,Maekel-Southern Merab-Asmara-Chickpeas-100 KG-ERN,195.122
2008-06-15,Semenawi Keih Bahri-Massawa-Massawa-Wheat flour-100 KG-ERN,227.6423
2008-07-15,Semenawi Keih Bahri-Massawa-Massawa-Wheat flour-100 KG-ERN,227.6423
2008-08-15,Semenawi Keih Bahri-Massawa-Massawa-Wheat flour-100 KG-ERN,234.1463
2008-09-15,Semenawi Keih Bahri-Massawa-Massawa-Wheat flour-100 KG-ERN,227.6423
2008-10-15,Semenawi Keih Bahri-Massawa-Massawa-Wheat flour-100 KG-ERN,208.1301
2008-11-15,Semenawi Keih Bahri-Massawa-Massawa-Wheat flour-100 KG-ERN,234.1463
2008-12-15,Semenawi Keih Bahri-Massawa-Massawa-Wheat flour-100 KG-ERN,240.6504
2009-01-15,Semenawi Keih Bahri-Massawa-Massawa-Wheat flour-100 KG-ERN,240.6504
2009-02-15,Semenawi Keih Bahri-Massawa-Massawa-Wheat flour-100 KG-ERN,240.6504
