date,code,usdprice
#date,#meta+code,#value+usd
2007-02-15,Francisco Morazan-Distrito Central-Tegucigalpa-Maize (white)-46 KG-HNL,13.5165
2007-03-15,Francisco Morazan-Distrito Central-Tegucigalpa-Maize (white)-46 KG-HNL,14.0293
2007-04-15,Francisco Morazan-Distrito Central-Tegucigalpa-Maize (white)-46 KG-HNL,13.8046
2007-05-15,Francisco Morazan-Distrito Central-Tegucigalpa-Maize (white)-46 KG-HNL,14.7059
2007-06-15,Francisco Morazan-Distrito Central-Tegucigalpa-Maize (white)-46 KG-HNL,14.8693
2007-07-15,Francisco Morazan-Distrito Central-Tegucigalpa-Maize (white)-46 KG-HNL,16.8181
2007-08-15,Francisco Morazan-Distrito Central-Tegucigalpa-Maize (white)-46 KG-HNL,17.8236
2007-09-15,Francisco Morazan-Distrito Central-Tegucigalpa-Maize (white)-46 KG-HNL,17.2002
2007-10-15,Francisco Morazan-Distrito Central-Tegucigalpa-Maize (white)-46 KG-HNL,12.4277
2007-11-15,Francisco Morazan-Distrito Central-Tegucigalpa-Maize (white)-46 KG-HNL,11.3008
2007-12-15,Francisco Morazan-Distrito Central-Tegucigalpa-Maize (white)-46 KG-HNL,11.3569
2007-12-15,Francisco Morazan-Distrito Central-Tegucigalpa-Maize (white)-46 KG-HNL,11.3569
2008-01-15,Francisco Morazan-Distrito Central-Tegucigalpa-Maize (white)-46 KG-HNL,11.6673
2008-02-15,Francisco Morazan-Distrito Central-Tegucigalpa-Maize (white)-46 KG-HNL,11.9221
2008-02-15,Francisco Morazan-Distrito Central-Tegucigalpa-Maize (white)-46 KG-HNL,11.9221
2008-03-15,Francisco Morazan-Distrito Central-Tegucigalpa-Maize (white)-46 KG-HNL,12.2376
2008-04-15,Francisco Morazan-Distrito Central-Tegucigalpa-Maize (white)-46 KG-HNL,13.5962
2008-05-15,Francisco Morazan-Distrito Central-Tegucigalpa-Maize (white)-46 KG-HNL,14.9677
2008-06-15,Francisco Morazan-Distrito Central-Tegucigalpa-Maize (white)-46 KG-HNL,15.6358
2008-07-15,Francisco Morazan-Distrito Central-Tegucigalpa-Maize (white)-46 KG-HNL,17.5877
2008-07-15,Francisco Morazan-Distrito Central-Tegucigalpa-Maize (white)-46 KG-HNL,17.5877
