date,code,usdprice
#date,#meta+code,#value+usd
2016-07-15,SUMATERA SELATAN-KOTA PALEMBANG-Pasar Lemabang-Sugar (premium)-KG-IDR,1.2289
2016-08-15,SUMATERA SELATAN-KOTA PALEMBANG-Pasar Lemabang-Sugar (premium)-KG-IDR,1.1888
2016-09-15,SUMATERA SELATAN-KOTA PALEMBANG-Pasar Lemabang-Sugar (premium)-KG-IDR,1.1358
2016-10-15,SUMATERA SELATAN-KOTA PALEMBANG-Pasar Lemabang-Sugar (premium)-KG-IDR,1.1518
2016-11-15,SUMATERA SELATAN-KOTA PALEMBANG-Pasar Lemabang-Sugar (premium)-KG-IDR,1.1145
2016-12-15,SUMATERA SELATAN-KOTA PALEMBANG-Pasar Lemabang-Sugar (premium)-KG-IDR,1.1179
2017-03-15,SUMATERA SELATAN-KOTA PALEMBANG-Pasar Lemabang-Sugar (premium)-KG-IDR,1.1142
2020-01-15,SUMATERA SELATAN-KOTA PALEMBANG-Pasar Lemabang-Sugar (premium)-KG-IDR,0.9889
2020-02-15,SUMATERA SELATAN-KOTA PALEMBANG-Pasar Lemabang-Sugar (premium)-KG-IDR,1.003
2020-03-15,SUMATERA SELATAN-KOTA PALEMBANG-Pasar Lemabang-Sugar (premium)-KG-IDR,1.0241
2020-04-15,SUMATERA SELATAN-KOTA PALEMBANG-Pasar Lemabang-Sugar (premium)-KG-IDR,1.0806
2020-05-15,SUMATERA SELATAN-KOTA PALEMBANG-Pasar Lemabang-Sugar (premium)-KG-IDR,1.1954
2020-06-15,SUMATERA SELATAN-KOTA PALEMBANG-Pasar Lemabang-Sugar (premium)-KG-IDR,1.1223
2020-07-15,SUMATERA SELATAN-KOTA PALEMBANG-Pasar Lemabang-Sugar (premium)-KG-IDR,0.9978
2020-08-15,SUMATERA SELATAN-KOTA PALEMBANG-Pasar Lemabang-Sugar (premium)-KG-IDR,0.9902
2020-09-15,SUMATERA SELATAN-KOTA PALEMBANG-Pasar Lemabang-Sugar (premium)-KG-IDR,0.9344
2020-10-15,SUMATERA SELATAN-KOTA PALEMBANG-Pasar Lemabang-Sugar (premium)-KG-IDR,0.9536
2020-11-15,SUMATERA SELATAN-KOTA PALEMBANG-Pasar Lemabang-Sugar (premium)-KG-IDR,0.9716
2020-12-15,SUMATERA SELATAN-KOTA PALEMBANG-Pasar Lemabang-Sugar (premium)-KG-IDR,0.9844
2021-01-15,SUMATERA SELATAN-KOTA PALEMBANG-Pasar Lemabang-Sugar (premium)-KG-IDR,0.9777
2021-02-15,SUMATERA SELATAN-KOTA PALEMBANG-Pasar Lemabang-Sugar (premium)-KG-IDR,0.9845
2021-03-15,SUMATERA SELATAN-KOTA PALEMBANG-Pasar Lemabang-Sugar (premium)-KG-IDR,0.9558
2021-04-15,SUMATERA SELATAN-KOTA PALEMBANG-Pasar Lemabang-Sugar (premium)-KG-IDR,0.937
2021-05-15,SUMATERA SELATAN-KOTA PALEMBANG-Pasar Lemabang-Sugar (premium)-KG-IDR,0.9793
2021-06-15,SUMATERA SELATAN-KOTA PALEMBANG-Pasar Lemabang-Sugar (premium)-KG-IDR,0.9712
2021-07-15,SUMATERA SELATAN-KOTA PALEMBANG-Pasar Lemabang-Sugar (premium)-KG-IDR,0.9673
2021-08-15,SUMATERA SELATAN-KOTA PALEMBANG-Pasar Lemabang-Sugar (premium)-KG-IDR,0.9699
2021-09-15,SUMATERA SELATAN-KOTA PALEMBANG-Pasar Lemabang-Sugar (premium)-KG-IDR,0.9825
2021-10-15,SUMATERA SELATAN-KOTA PALEMBANG-Pasar Lemabang-Sugar (premium)-KG-IDR,0.9944
