date,code,usdprice
#date,#meta+code,#value+usd
2012-04-15,Tehran-Tehran-Tehran Market-Sugar (white)-KG-IRR,1.2961
2012-05-15,Tehran-Tehran-Tehran Market-Sugar (white)-KG-IRR,1.2944
2012-06-15,Tehran-Tehran-Tehran Market-Sugar (white)-KG-IRR,1.3163
2012-07-15,Tehran-Tehran-Tehran Market-Sugar (white)-KG-IRR,1.2977
2012-08-15,Tehran-Tehran-Tehran Market-Sugar (white)-KG-IRR,1.3186
2012-09-15,Tehran-Tehran-Tehran Market-Sugar (white)-KG-IRR,1.3042
2012-10-15,Tehran-Tehran-Tehran Market-Sugar (white)-KG-IRR,1.4755
2012-11-15,Tehran-Tehran-Tehran Market-Sugar (white)-KG-IRR,1.5104
2012-12-15,Tehran-Tehran-Tehran Market-Sugar (white)-KG-IRR,1.4967
2013-01-15,Tehran-Tehran-Tehran Market-Sugar (white)-KG-IRR,1.4979
2013-02-15,Tehran-Tehran-Tehran Market-Sugar (white)-KG-IRR,1.4813
2013-03-15,Tehran-Tehran-Tehran Market-Sugar (white)-KG-IRR,1.488
2013-04-15,Tehran-Tehran-Tehran Market-Sugar (white)-KG-IRR,1.483
2013-05-15,Tehran-Tehran-Tehran Market-Sugar (white)-KG-IRR,1.7816
2013-06-15,Tehran-Tehran-Tehran Market-Sugar (white)-KG-IRR,1.8206
2013-07-15,Tehran-Tehran-Tehran Market-Sugar (white)-KG-IRR,1.84
2013-08-15,Tehran-Tehran-Tehran Market-Sugar (white)-KG-IRR,0.9177
2013-09-15,Tehran-Tehran-Tehran Market-Sugar (white)-KG-IRR,0.9061
2013-10-15,Tehran-Tehran-Tehran Market-Sugar (white)-KG-IRR,0.9358
2013-11-15,Tehran-Tehran-Tehran Market-Sugar (white)-KG-IRR,0.9363
2013-12-15,Tehran-Tehran-Tehran Market-Sugar (white)-KG-IRR,0.9401
2014-01-15,Tehran-Tehran-Tehran Market-Sugar (white)-KG-IRR,0.9513
2014-02-15,Tehran-Tehran-Tehran Market-Sugar (white)-KG-IRR,0.9496
2014-03-15,Tehran-Tehran-Tehran Market-Sugar (white)-KG-IRR,0.9383
2014-04-15,Tehran-Tehran-Tehran Market-Sugar (white)-KG-IRR,0.9275
2014-05-15,Tehran-Tehran-Tehran Market-Sugar (white)-KG-IRR,0.9604
2014-06-15,Tehran-Tehran-Tehran Market-Sugar (white)-KG-IRR,0.9615
