date,code,usdprice
#date,#meta+code,#value+usd
2011-04-15,"Tookyoo-Sinzyukuku-Tokyo-Rice (glutinous, unmilled)-KG-JPY",7.2401
2011-05-15,"Tookyoo-Sinzyukuku-Tokyo-Rice (glutinous, unmilled)-KG-JPY",7.2415
2011-06-15,"Tookyoo-Sinzyukuku-Tokyo-Rice (glutinous, unmilled)-KG-JPY",7.4249
2011-07-15,"Tookyoo-Sinzyukuku-Tokyo-Rice (glutinous, unmilled)-KG-JPY",7.2998
2011-08-15,"Tookyoo-Sinzyukuku-Tokyo-Rice (glutinous, unmilled)-KG-JPY",7.5241
2011-09-15,"Tookyoo-Sinzyukuku-Tokyo-Rice (glutinous, unmilled)-KG-JPY",7.5512
2011-10-15,"Tookyoo-Sinzyukuku-Tokyo-Rice (glutinous, unmilled)-KG-JPY",7.5892
2011-11-15,"Tookyoo-Sinzyukuku-Tokyo-Rice (glutinous, unmilled)-KG-JPY",7.4988
2011-12-15,"Tookyoo-Sinzyukuku-Tokyo-Rice (glutinous, unmilled)-KG-JPY",7.5152
2012-01-15,"Tookyoo-Sinzyukuku-Tokyo-Rice (glutinous, unmilled)-KG-JPY",7.5264
2012-02-15,"Tookyoo-Sinzyukuku-Tokyo-Rice (glutinous, unmilled)-KG-JPY",7.4017
2012-03-15,"Tookyoo-Sinzyukuku-Tokyo-Rice (glutinous, unmilled)-KG-JPY",6.7748
2012-04-15,"Tookyoo-Sinzyukuku-Tokyo-Rice (glutinous, unmilled)-KG-JPY",7.1035
2012-05-15,"Tookyoo-Sinzyukuku-Tokyo-Rice (glutinous, unmilled)-KG-JPY",7.4515
2012-06-15,"Tookyoo-Sinzyukuku-Tokyo-Rice (glutinous, unmilled)-KG-JPY",7.3405
2012-07-15,"Tookyoo-Sinzyukuku-Tokyo-Rice (glutinous, unmilled)-KG-JPY",7.4419
2012-08-15,"Tookyoo-Sinzyukuku-Tokyo-Rice (glutinous, unmilled)-KG-JPY",7.2194
2012-09-15,"Tookyoo-Sinzyukuku-Tokyo-Rice (glutinous, unmilled)-KG-JPY",7.4606
2012-10-15,"Tookyoo-Sinzyukuku-Tokyo-Rice (glutinous, unmilled)-KG-JPY",7.468
2012-11-15,"Tookyoo-Sinzyukuku-Tokyo-Rice (glutinous, unmilled)-KG-JPY",7.207
2012-12-15,"Tookyoo-Sinzyukuku-Tokyo-Rice (glutinous, unmilled)-KG-JPY",6.9285
2013-01-15,"Tookyoo-Sinzyukuku-Tokyo-Rice (glutinous, unmilled)-KG-JPY",6.4833
2013-02-15,"Tookyoo-Sinzyukuku-Tokyo-Rice (glutinous, unmilled)-KG-JPY",6.3685
2013-03-15,"Tookyoo-Sinzyukuku-Tokyo-Rice (glutinous, unmilled)-KG-JPY",6.1066
2013-04-15,"Tookyoo-Sinzyukuku-Tokyo-Rice (glutinous, unmilled)-KG-JPY",6.0565
2013-05-15,"Tookyoo-Sinzyukuku-Tokyo-Rice (glutinous, unmilled)-KG-JPY",5.6942
2013-06-15,"Tookyoo-Sinzyukuku-Tokyo-Rice (glutinous, unmilled)-KG-JPY",5.9748
2013-07-15,"Tookyoo-Sinzyukuku-Tokyo-Rice (glutinous, unmilled)-KG-JPY",5.9478
2013-08-15,"Tookyoo-Sinzyukuku-Tokyo-Rice (glutinous, unmilled)-KG-JPY",6.0192
2013-09-15,"Tookyoo-Sinzyukuku-Tokyo-Rice (glutinous, unmilled)-KG-JPY",5.8752
2013-10-15,"Tookyoo-Sinzyukuku-Tokyo-Rice (glutinous, unmilled)-KG-JPY",6.0618
2013-11-15,"Tookyoo-Sinzyukuku-Tokyo-Rice (glutinous, unmilled)-KG-JPY",5.6564
2013-12-15,"Tookyoo-Sinzyukuku-Tokyo-Rice (glutinous, unmilled)-KG-JPY",5.5388
2014-01-15,"Tookyoo-Sinzyukuku-Tokyo-Rice (glutinous, unmilled)-KG-JPY",5.4042
2014-02-15,"Tookyoo-Sinzyukuku-Tokyo-Rice (glutinous, unmilled)-KG-JPY",5.72
2014-03-15,"Tookyoo-Sinzyukuku-Tokyo-Rice (glutinous, unmilled)-KG-JPY",5.591
2014-04-15,"Tookyoo-Sinzyukuku-Tokyo-Rice (glutinous, unmilled)-KG-JPY",5.8879
