date,code,usdprice
#date,#meta+code,#value+usd
2014-06-15,"Stung Treng-Stueng Traeng-Stung Treng-Rice (mixed, low quality)-KG-KHR",0.4646
2014-07-15,"Stung Treng-Stueng Traeng-Stung Treng-Rice (mixed, low quality)-KG-KHR",0.4239
2014-08-15,"Stung Treng-Stueng Traeng-Stung Treng-Rice (mixed, low quality)-KG-KHR",0.4373
2014-09-15,"Stung Treng-Stueng Traeng-Stung Treng-Rice (mixed, low quality)-KG-KHR",0.4511
2014-10-15,"Stung Treng-Stueng Traeng-Stung Treng-Rice (mixed, low quality)-KG-KHR",0.4497
2014-11-15,"Stung Treng-Stueng Traeng-Stung Treng-Rice (mixed, low quality)-KG-KHR",0.4423
2015-05-15,"Stung Treng-Stueng Traeng-Stung Treng-Rice (mixed, low quality)-KG-KHR",0.4911
2015-06-15,"Stung Treng-Stueng Traeng-Stung Treng-Rice (mixed, low quality)-KG-KHR",0.4288
2015-07-15,"Stung Treng-Stueng Traeng-Stung Treng-Rice (mixed, low quality)-KG-KHR",0.4289
2015-08-15,"Stung Treng-Stueng Traeng-Stung Treng-Rice (mixed, low quality)-KG-KHR",0.4623
2015-09-15,"Stung Treng-Stueng Traeng-Stung Treng-Rice (mixed, low quality)-KG-KHR",0.3686
2015-10-15,"Stung Treng-Stueng Traeng-Stung Treng-Rice (mixed, low quality)-KG-KHR",0.4851
2015-12-15,"Stung Treng-Stueng Traeng-Stung Treng-Rice (mixed, low quality)-KG-KHR",0.4305
2016-01-15,"Stung Treng-Stueng Traeng-Stung Treng-Rice (mixed, low quality)-KG-KHR",0.4426
2016-02-15,"Stung Treng-Stueng Traeng-Stung Treng-Rice (mixed, low quality)-KG-KHR",0.4544
2016-03-15,"Stung Treng-Stueng Traeng-Stung Treng-Rice (mixed, low quality)-KG-KHR",0.4596
2016-04-15,"Stung Treng-Stueng Traeng-Stung Treng-Rice (mixed, low quality)-KG-KHR",0.4521
2016-07-15,"Stung Treng-Stueng Traeng-Stung Treng-Rice (mixed, low quality)-KG-KHR",0.489
2016-08-15,"Stung Treng-Stueng Traeng-Stung Treng-Rice (mixed, low quality)-KG-KHR",0.449
2016-09-15,"Stung Treng-Stueng Traeng-Stung Treng-Rice (mixed, low quality)-KG-KHR",0.4246
2016-10-15,"Stung Treng-Stueng Traeng-Stung Treng-Rice (mixed, low quality)-KG-KHR",0.4172
2016-11-15,"Stung Treng-Stueng Traeng-Stung Treng-Rice (mixed, low quality)-KG-KHR",0.4281
2016-12-15,"Stung Treng-Stueng Traeng-Stung Treng-Rice (mixed, low quality)-KG-KHR",0.4496
2017-01-15,"Stung Treng-Stueng Traeng-Stung Treng-Rice (mixed, low quality)-KG-KHR",0.445
2017-02-15,"Stung Treng-Stueng Traeng-Stung Treng-Rice (mixed, low quality)-KG-KHR",0.4499
2017-05-15,"Stung Treng-Stueng Traeng-Stung Treng-Rice (mixed, low quality)-KG-KHR",0.4969
2017-06-15,"Stung Treng-Stueng Traeng-Stung Treng-Rice (mixed, low quality)-KG-KHR",0.4938
2017-07-15,"Stung Treng-Stueng Traeng-Stung Treng-Rice (mixed, low quality)-KG-KHR",0.4887
2017-08-15,"Stung Treng-Stueng Traeng-Stung Treng-Rice (mixed, low quality)-KG-KHR",0.5482
2017-09-15,"Stung Treng-Stueng Traeng-Stung Treng-Rice (mixed, low quality)-KG-KHR",0.5487
2017-10-15,"Stung Treng-Stueng Traeng-Stung Treng-Rice (mixed, low quality)-KG-KHR",0.5537
2017-11-15,"Stung Treng-Stueng Traeng-Stung Treng-Rice (mixed, low quality)-KG-KHR",0.5781
2017-12-15,"Stung Treng-Stueng Traeng-Stung Treng-Rice (mixed, low quality)-KG-KHR",0.5707
2018-01-15,"Stung Treng-Stueng Traeng-Stung Treng-Rice (mixed, low quality)-KG-KHR",0.5663
2018-04-15,"Stung Treng-Stueng Traeng-Stung Treng-Rice (mixed, low quality)-KG-KHR",0.5465
2018-05-15,"Stung Treng-Stueng Traeng-Stung Treng-Rice (mixed, low quality)-KG-KHR",0.5506
2019-08-15,"Stung Treng-Stueng Traeng-Stung Treng-Rice (mixed, low quality)-KG-KHR",0.5094
2019-08-15,"Stung Treng-Stueng Traeng-Stung Treng-Rice (mixed, low quality)-KG-KHR",0.5345
2019-09-15,"Stung Treng-Stueng Traeng-Stung Treng-Rice (mixed, low quality)-KG-KHR",0.4962
2019-09-15,"Stung Treng-Stueng Traeng-Stung Treng-Rice (mixed, low quality)-KG-KHR",0.5207
