date,code,usdprice
#date,#meta+code,#value+usd
2012-12-15,South-Sour-Sour-Sugar (white)-KG-LBP,1.297
2013-01-15,South-Sour-Sour-Sugar (white)-KG-LBP,1.1668
2013-02-15,South-Sour-Sour-Sugar (white)-KG-LBP,1.198
2013-03-15,South-Sour-Sour-Sugar (white)-KG-LBP,1.1482
2013-04-15,South-Sour-Sour-Sugar (white)-KG-LBP,1.1608
2013-05-15,South-Sour-Sour-Sugar (white)-KG-LBP,0.7864
2013-06-15,South-Sour-Sour-Sugar (white)-KG-LBP,1.0967
2013-09-15,South-Sour-Sour-Sugar (white)-KG-LBP,0.9121
2013-10-15,South-Sour-Sour-Sugar (white)-KG-LBP,0.9557
2013-11-15,South-Sour-Sour-Sugar (white)-KG-LBP,1.0382
2013-12-15,South-Sour-Sour-Sugar (white)-KG-LBP,0.995
2014-01-15,South-Sour-Sour-Sugar (white)-KG-LBP,1.0542
2014-02-15,South-Sour-Sour-Sugar (white)-KG-LBP,1.0226
2014-04-15,South-Sour-Sour-Sugar (white)-KG-LBP,0.823
2014-05-15,South-Sour-Sour-Sugar (white)-KG-LBP,1.0245
2014-06-15,South-Sour-Sour-Sugar (white)-KG-LBP,0.8181
2014-07-15,South-Sour-Sour-Sugar (white)-KG-LBP,0.9921
2014-08-15,South-Sour-Sour-Sugar (white)-KG-LBP,0.9713
2014-10-15,South-Sour-Sour-Sugar (white)-KG-LBP,1.0016
2014-11-15,South-Sour-Sour-Sugar (white)-KG-LBP,0.8945
2015-02-15,South-Sour-Sour-Sugar (white)-KG-LBP,0.8646
2015-05-15,South-Sour-Sour-Sugar (white)-KG-LBP,0.8567
2015-06-15,South-Sour-Sour-Sugar (white)-KG-LBP,0.6083
2015-07-15,South-Sour-Sour-Sugar (white)-KG-LBP,0.7493
2015-08-15,South-Sour-Sour-Sugar (white)-KG-LBP,0.7131
2015-09-15,South-Sour-Sour-Sugar (white)-KG-LBP,0.6631
2015-10-15,South-Sour-Sour-Sugar (white)-KG-LBP,0.5316
2015-11-15,South-Sour-Sour-Sugar (white)-KG-LBP,0.5307
2015-12-15,South-Sour-Sour-Sugar (white)-KG-LBP,0.6136
2016-01-15,South-Sour-Sour-Sugar (white)-KG-LBP,0.7025
2016-02-15,South-Sour-Sour-Sugar (white)-KG-LBP,0.7456
2016-03-15,South-Sour-Sour-Sugar (white)-KG-LBP,0.7478
2016-04-15,South-Sour-Sour-Sugar (white)-KG-LBP,0.6132
2016-05-15,South-Sour-Sour-Sugar (white)-KG-LBP,0.7002
2016-06-15,South-Sour-Sour-Sugar (white)-KG-LBP,0.746
2016-07-15,South-Sour-Sour-Sugar (white)-KG-LBP,0.7603
2016-08-15,South-Sour-Sour-Sugar (white)-KG-LBP,0.8164
2016-09-15,South-Sour-Sour-Sugar (white)-KG-LBP,0.8516
2016-10-15,South-Sour-Sour-Sugar (white)-KG-LBP,0.8292
2016-12-15,South-Sour-Sour-Sugar (white)-KG-LBP,0.8847
2017-01-15,South-Sour-Sour-Sugar (white)-KG-LBP,0.9937
2017-02-15,South-Sour-Sour-Sugar (white)-KG-LBP,0.9716
2017-03-15,South-Sour-Sour-Sugar (white)-KG-LBP,0.9907
2017-04-15,South-Sour-Sour-Sugar (white)-KG-LBP,0.995
