date,code,usdprice
#date,#meta+code,#value+usd
2020-01-15,Western-Colombo-Economic Centre-Pettah-Rice (white)-KG-LKR,0.5815
2020-01-15,Western-Colombo-Economic Centre-Pettah-Rice (white)-KG-LKR,0.6053
2020-02-15,Western-Colombo-Economic Centre-Pettah-Rice (white)-KG-LKR,0.5109
2020-02-15,Western-Colombo-Economic Centre-Pettah-Rice (white)-KG-LKR,0.5393
2020-03-15,Western-Colombo-Economic Centre-Pettah-Rice (white)-KG-LKR,0.4862
2020-03-15,Western-Colombo-Economic Centre-Pettah-Rice (white)-KG-LKR,0.5294
2020-04-15,Western-Colombo-Economic Centre-Pettah-Rice (white)-KG-LKR,0.4972
2020-05-15,Western-Colombo-Economic Centre-Pettah-Rice (white)-KG-LKR,0.5001
2020-06-15,Western-Colombo-Economic Centre-Pettah-Rice (white)-KG-LKR,0.4954
2020-06-15,Western-Colombo-Economic Centre-Pettah-Rice (white)-KG-LKR,0.5102
2020-07-15,Western-Colombo-Economic Centre-Pettah-Rice (white)-KG-LKR,0.4926
2020-07-15,Western-Colombo-Economic Centre-Pettah-Rice (white)-KG-LKR,0.5088
2020-08-15,Western-Colombo-Economic Centre-Pettah-Rice (white)-KG-LKR,0.4895
2020-08-15,Western-Colombo-Economic Centre-Pettah-Rice (white)-KG-LKR,0.5002
2020-09-15,Western-Colombo-Economic Centre-Pettah-Rice (white)-KG-LKR,0.4976
2020-09-15,Western-Colombo-Economic Centre-Pettah-Rice (white)-KG-LKR,0.5128
2020-10-15,Western-Colombo-Economic Centre-Pettah-Rice (white)-KG-LKR,0.4965
2020-10-15,Western-Colombo-Economic Centre-Pettah-Rice (white)-KG-LKR,0.5117
2021-01-15,Western-Colombo-Economic Centre-Pettah-Rice (white)-KG-LKR,0.5336
2021-02-15,Western-Colombo-Economic Centre-Pettah-Rice (white)-KG-LKR,0.4859
2021-03-15,Western-Colombo-Economic Centre-Pettah-Rice (white)-KG-LKR,0.5027
2021-04-15,Western-Colombo-Economic Centre-Pettah-Rice (white)-KG-LKR,0.4955
2004-01-15,Western-Colombo-Colombo City-Wheat flour-KG-LKR,0.2725
2004-02-15,Western-Colombo-Colombo City-Wheat flour-KG-LKR,0.2718
2004-03-15,Western-Colombo-Colombo City-Wheat flour-KG-LKR,0.2737
2004-04-15,Western-Colombo-Colombo City-Wheat flour-KG-LKR,0.2737
