date,code,usdprice
#date,#meta+code,#value+usd
2010-01-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,2.0737
2010-02-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.9587
2010-03-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,2.1014
2010-04-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,2.0426
2010-05-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,0.8141
2010-06-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,2.1145
2010-07-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.9947
2010-08-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,0.7745
2010-09-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,2.0523
2010-10-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,2.1933
2010-11-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,2.0155
2010-12-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,2.1957
2011-01-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,0.8453
2011-02-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,2.0073
2011-03-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,2.2424
2011-04-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,2.2807
2011-05-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,0.8476
2011-06-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,2.4254
2011-07-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,2.3425
2011-08-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,2.2255
2011-09-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,2.2912
2011-10-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,0.9174
2011-11-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,2.1607
2011-12-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,2.0225
2012-01-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,0.9128
2012-02-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,2.1494
2012-03-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,2.1256
2012-04-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,0.8977
2012-05-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,2.0228
2012-06-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,2.036
2012-07-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,0.955
2012-08-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,2.1815
2012-09-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,0.9424
2012-10-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,2.022
2012-11-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,2.0226
2012-12-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,0.9323
2013-01-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.9878
2013-02-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,2.0687
2013-03-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.9552
2013-04-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.9993
2013-05-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.9046
2013-06-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.0052
2013-07-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.8217
2013-08-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.8256
2013-09-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,0.9799
2013-10-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.8477
2013-11-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.8035
2013-12-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,0.9794
2014-01-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.652
2014-02-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,0.9777
2014-03-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,0.9902
2014-04-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.7409
2014-05-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.832
2014-06-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.0277
2014-07-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.7723
2014-08-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.7592
2014-09-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.6892
2014-10-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.738
2014-11-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,0.9511
2014-12-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.5055
2015-01-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.5274
2015-02-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,0.9734
2015-03-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,0.9712
2015-04-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.4851
2015-05-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.5157
2015-06-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.4552
2015-07-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.4605
2015-08-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,0.9658
2015-09-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.316
2015-10-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.3648
2015-11-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,0.9576
2015-12-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.2094
2016-01-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.0998
2016-02-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.2232
2016-03-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.2106
2016-04-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.3329
2016-05-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.1799
2016-06-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.4235
2016-07-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.4999
2016-08-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.5638
2016-09-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.5571
2016-10-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.1451
2016-11-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.4976
2016-12-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.5051
2017-01-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.0962
2017-02-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.6129
2017-03-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.6487
2017-04-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.1543
2017-05-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.5831
2017-06-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.6095
2017-07-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.1212
2017-08-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.5777
2017-09-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.6245
2017-10-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.144
2017-11-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.4695
2017-12-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.52
2018-01-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.6575
2018-02-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.7575
2018-03-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.6882
2018-04-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.0842
2018-05-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.6026
2018-06-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.471
2018-07-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.081
2018-08-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.3425
2018-09-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.0598
2018-10-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.4467
2018-11-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.4056
2018-12-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.1071
2019-01-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.4672
2019-02-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.4672
2019-03-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.4064
2019-04-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.3963
2019-05-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.4986
2019-06-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.1413
2019-07-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.4832
2019-08-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.2847
2019-09-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.0543
2019-10-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.3643
2019-11-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.3547
2019-12-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.0973
2020-01-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.4072
2020-02-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.1163
2020-03-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.1223
2020-04-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.1639
2020-05-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.1533
2020-06-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.2633
2020-07-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.3417
2020-08-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.2799
2020-09-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.4016
2020-10-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.4159
2020-11-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.2543
2020-12-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.5598
2021-01-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.5603
2021-02-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.6082
2021-03-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.6508
2021-04-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.7398
2021-05-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.3842
2021-06-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.8524
2021-07-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.8706
2021-08-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.4783
2021-09-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.8942
2021-10-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.9263
2021-11-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.8523
2021-12-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.8444
2022-01-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.6663
2022-03-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,2.0764
2022-04-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,2.0471
2022-05-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,1.7897
2022-06-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,2.0479
2022-07-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,2.8324
2022-08-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,2.9394
2022-09-15,Qacha's Nek-Qacha's Nek-Qacha's Nek-Oil (sunflower)-750 ML-LSL,2.8549
2010-01-15,Mokhotlong-Mokhotlong-Mokhotlong-Bread (brown)-Loaf-LSL,0.8936
2010-02-15,Mokhotlong-Mokhotlong-Mokhotlong-Bread (brown)-Loaf-LSL,0.8557
2010-03-15,Mokhotlong-Mokhotlong-Mokhotlong-Bread (brown)-Loaf-LSL,0.8904
2010-04-15,Mokhotlong-Mokhotlong-Mokhotlong-Bread (brown)-Loaf-LSL,0.8828
2010-05-15,Mokhotlong-Mokhotlong-Mokhotlong-Bread (brown)-Loaf-LSL,0.3516
2010-06-15,Mokhotlong-Mokhotlong-Mokhotlong-Bread (brown)-Loaf-LSL,0.8585
2010-07-15,Mokhotlong-Mokhotlong-Mokhotlong-Bread (brown)-Loaf-LSL,0.8534
2010-08-15,Mokhotlong-Mokhotlong-Mokhotlong-Bread (brown)-Loaf-LSL,0.3625
2010-09-15,Mokhotlong-Mokhotlong-Mokhotlong-Bread (brown)-Loaf-LSL,0.9379
2010-10-15,Mokhotlong-Mokhotlong-Mokhotlong-Bread (brown)-Loaf-LSL,0.978
2010-11-15,Mokhotlong-Mokhotlong-Mokhotlong-Bread (brown)-Loaf-LSL,0.9561
2010-12-15,Mokhotlong-Mokhotlong-Mokhotlong-Bread (brown)-Loaf-LSL,0.9784
2011-01-15,Mokhotlong-Mokhotlong-Mokhotlong-Bread (brown)-Loaf-LSL,0.3626
2011-02-15,Mokhotlong-Mokhotlong-Mokhotlong-Bread (brown)-Loaf-LSL,0.9038
2011-03-15,Mokhotlong-Mokhotlong-Mokhotlong-Bread (brown)-Loaf-LSL,0.9512
2011-04-15,Mokhotlong-Mokhotlong-Mokhotlong-Bread (brown)-Loaf-LSL,0.9709
2011-05-15,Mokhotlong-Mokhotlong-Mokhotlong-Bread (brown)-Loaf-LSL,0.3651
2011-06-15,Mokhotlong-Mokhotlong-Mokhotlong-Bread (brown)-Loaf-LSL,1.0108
2011-07-15,Mokhotlong-Mokhotlong-Mokhotlong-Bread (brown)-Loaf-LSL,0.9729
2011-08-15,Mokhotlong-Mokhotlong-Mokhotlong-Bread (brown)-Loaf-LSL,0.9681
2011-09-15,Mokhotlong-Mokhotlong-Mokhotlong-Bread (brown)-Loaf-LSL,0.9226
2011-10-15,Mokhotlong-Mokhotlong-Mokhotlong-Bread (brown)-Loaf-LSL,0.3958
2011-11-15,Mokhotlong-Mokhotlong-Mokhotlong-Bread (brown)-Loaf-LSL,0.837
2011-12-15,Mokhotlong-Mokhotlong-Mokhotlong-Bread (brown)-Loaf-LSL,0.7965
2012-01-15,Mokhotlong-Mokhotlong-Mokhotlong-Bread (brown)-Loaf-LSL,0.4073
2012-02-15,Mokhotlong-Mokhotlong-Mokhotlong-Bread (brown)-Loaf-LSL,0.974
2012-03-15,Mokhotlong-Mokhotlong-Mokhotlong-Bread (brown)-Loaf-LSL,0.9819
2012-04-15,Mokhotlong-Mokhotlong-Mokhotlong-Bread (brown)-Loaf-LSL,0.4076
2012-05-15,Mokhotlong-Mokhotlong-Mokhotlong-Bread (brown)-Loaf-LSL,0.9114
2012-06-15,Mokhotlong-Mokhotlong-Mokhotlong-Bread (brown)-Loaf-LSL,0.9047
2012-07-15,Mokhotlong-Mokhotlong-Mokhotlong-Bread (brown)-Loaf-LSL,0.4101
2012-08-15,Mokhotlong-Mokhotlong-Mokhotlong-Bread (brown)-Loaf-LSL,0.926
2012-09-15,Mokhotlong-Mokhotlong-Mokhotlong-Bread (brown)-Loaf-LSL,0.4051
2012-10-15,Mokhotlong-Mokhotlong-Mokhotlong-Bread (brown)-Loaf-LSL,0.8692
2012-11-15,Mokhotlong-Mokhotlong-Mokhotlong-Bread (brown)-Loaf-LSL,0.88
2012-12-15,Mokhotlong-Mokhotlong-Mokhotlong-Bread (brown)-Loaf-LSL,0.418
2013-01-15,Mokhotlong-Mokhotlong-Mokhotlong-Bread (brown)-Loaf-LSL,0.9215
2013-02-15,Mokhotlong-Mokhotlong-Mokhotlong-Bread (brown)-Loaf-LSL,0.929
2013-03-15,Mokhotlong-Mokhotlong-Mokhotlong-Bread (brown)-Loaf-LSL,0.8894
2013-04-15,Mokhotlong-Mokhotlong-Mokhotlong-Bread (brown)-Loaf-LSL,0.9035
2013-05-15,Mokhotlong-Mokhotlong-Mokhotlong-Bread (brown)-Loaf-LSL,0.8739
2013-06-15,Mokhotlong-Mokhotlong-Mokhotlong-Bread (brown)-Loaf-LSL,0.4348
2013-07-15,Mokhotlong-Mokhotlong-Mokhotlong-Bread (brown)-Loaf-LSL,0.8644
2013-08-15,Mokhotlong-Mokhotlong-Mokhotlong-Bread (brown)-Loaf-LSL,0.8577
2013-09-15,Mokhotlong-Mokhotlong-Mokhotlong-Bread (brown)-Loaf-LSL,0.4527
2013-10-15,Mokhotlong-Mokhotlong-Mokhotlong-Bread (brown)-Loaf-LSL,0.8583
2013-11-15,Mokhotlong-Mokhotlong-Mokhotlong-Bread (brown)-Loaf-LSL,0.842
2013-12-15,Mokhotlong-Mokhotlong-Mokhotlong-Bread (brown)-Loaf-LSL,0.4574
2014-01-15,Mokhotlong-Mokhotlong-Mokhotlong-Bread (brown)-Loaf-LSL,0.7732
2014-02-15,Mokhotlong-Mokhotlong-Mokhotlong-Bread (brown)-Loaf-LSL,0.4543
2014-03-15,Mokhotlong-Mokhotlong-Mokhotlong-Bread (brown)-Loaf-LSL,0.4522
