date,code,usdprice
#date,#meta+code,#value+usd
2011-01-15,Vatovavy Fitovinany-Manakara Atsimo-Vatovavy Fitovinany (Region)-Rice (local)-KG-MGA,0.5943
2011-02-15,Vatovavy Fitovinany-Manakara Atsimo-Vatovavy Fitovinany (Region)-Rice (local)-KG-MGA,0.6421
2011-03-15,Vatovavy Fitovinany-Manakara Atsimo-Vatovavy Fitovinany (Region)-Rice (local)-KG-MGA,0.6505
2011-04-15,Vatovavy Fitovinany-Manakara Atsimo-Vatovavy Fitovinany (Region)-Rice (local)-KG-MGA,0.6341
2011-05-15,Vatovavy Fitovinany-Manakara Atsimo-Vatovavy Fitovinany (Region)-Rice (local)-KG-MGA,0.6007
2011-06-15,Vatovavy Fitovinany-Manakara Atsimo-Vatovavy Fitovinany (Region)-Rice (local)-KG-MGA,0.5605
2011-07-15,Vatovavy Fitovinany-Manakara Atsimo-Vatovavy Fitovinany (Region)-Rice (local)-KG-MGA,0.603
2011-08-15,Vatovavy Fitovinany-Manakara Atsimo-Vatovavy Fitovinany (Region)-Rice (local)-KG-MGA,0.6631
2011-09-15,Vatovavy Fitovinany-Manakara Atsimo-Vatovavy Fitovinany (Region)-Rice (local)-KG-MGA,0.6333
2011-10-15,Vatovavy Fitovinany-Manakara Atsimo-Vatovavy Fitovinany (Region)-Rice (local)-KG-MGA,0.6233
2011-11-15,Vatovavy Fitovinany-Manakara Atsimo-Vatovavy Fitovinany (Region)-Rice (local)-KG-MGA,0.6471
2011-12-15,Vatovavy Fitovinany-Manakara Atsimo-Vatovavy Fitovinany (Region)-Rice (local)-KG-MGA,0.6466
2012-01-15,Vatovavy Fitovinany-Manakara Atsimo-Vatovavy Fitovinany (Region)-Rice (local)-KG-MGA,0.6215
2012-02-15,Vatovavy Fitovinany-Manakara Atsimo-Vatovavy Fitovinany (Region)-Rice (local)-KG-MGA,0.6276
2012-03-15,Vatovavy Fitovinany-Manakara Atsimo-Vatovavy Fitovinany (Region)-Rice (local)-KG-MGA,0.6289
2012-04-15,Vatovavy Fitovinany-Manakara Atsimo-Vatovavy Fitovinany (Region)-Rice (local)-KG-MGA,0.6168
2012-05-15,Vatovavy Fitovinany-Manakara Atsimo-Vatovavy Fitovinany (Region)-Rice (local)-KG-MGA,0.6247
2012-06-15,Vatovavy Fitovinany-Manakara Atsimo-Vatovavy Fitovinany (Region)-Rice (local)-KG-MGA,0.542
2012-07-15,Vatovavy Fitovinany-Manakara Atsimo-Vatovavy Fitovinany (Region)-Rice (local)-KG-MGA,0.5222
2012-08-15,Vatovavy Fitovinany-Manakara Atsimo-Vatovavy Fitovinany (Region)-Rice (local)-KG-MGA,0.5479
2012-09-15,Vatovavy Fitovinany-Manakara Atsimo-Vatovavy Fitovinany (Region)-Rice (local)-KG-MGA,0.5633
2012-10-15,Vatovavy Fitovinany-Manakara Atsimo-Vatovavy Fitovinany (Region)-Rice (local)-KG-MGA,0.6077
2012-11-15,Vatovavy Fitovinany-Manakara Atsimo-Vatovavy Fitovinany (Region)-Rice (local)-KG-MGA,0.6073
2012-12-15,Vatovavy Fitovinany-Manakara Atsimo-Vatovavy Fitovinany (Region)-Rice (local)-KG-MGA,0.5898
2013-01-15,Vatovavy Fitovinany-Manakara Atsimo-Vatovavy Fitovinany (Region)-Rice (local)-KG-MGA,0.5681
