date,code,usdprice
#date,#meta+code,#value+usd
2000-01-15,"Distrito Federal-Cuauhtemoc-Mexico City-Rice (small grain, Morelos)-KG-MXN",0.9355
2000-02-15,"Distrito Federal-Cuauhtemoc-Mexico City-Rice (small grain, Morelos)-KG-MXN",0.948
2000-03-15,"Distrito Federal-Cuauhtemoc-Mexico City-Rice (small grain, Morelos)-KG-MXN",0.9542
2000-04-15,"Distrito Federal-Cuauhtemoc-Mexico City-Rice (small grain, Morelos)-KG-MXN",0.9442
2000-05-15,"Distrito Federal-Cuauhtemoc-Mexico City-Rice (small grain, Morelos)-KG-MXN",0.9276
2000-06-15,"Distrito Federal-Cuauhtemoc-Mexico City-Rice (small grain, Morelos)-KG-MXN",0.9034
2000-07-15,"Distrito Federal-Cuauhtemoc-Mexico City-Rice (small grain, Morelos)-KG-MXN",0.9103
2000-08-15,"Distrito Federal-Cuauhtemoc-Mexico City-Rice (small grain, Morelos)-KG-MXN",0.9464
2000-09-15,"Distrito Federal-Cuauhtemoc-Mexico City-Rice (small grain, Morelos)-KG-MXN",0.9442
2000-10-15,"Distrito Federal-Cuauhtemoc-Mexico City-Rice (small grain, Morelos)-KG-MXN",0.9241
2000-11-15,"Distrito Federal-Cuauhtemoc-Mexico City-Rice (small grain, Morelos)-KG-MXN",0.9365
2000-12-15,"Distrito Federal-Cuauhtemoc-Mexico City-Rice (small grain, Morelos)-KG-MXN",0.9277
2001-01-15,"Distrito Federal-Cuauhtemoc-Mexico City-Rice (small grain, Morelos)-KG-MXN",0.9232
2001-02-15,"Distrito Federal-Cuauhtemoc-Mexico City-Rice (small grain, Morelos)-KG-MXN",0.9312
2001-03-15,"Distrito Federal-Cuauhtemoc-Mexico City-Rice (small grain, Morelos)-KG-MXN",0.9373
2001-04-15,"Distrito Federal-Cuauhtemoc-Mexico City-Rice (small grain, Morelos)-KG-MXN",0.9625
2001-05-15,"Distrito Federal-Cuauhtemoc-Mexico City-Rice (small grain, Morelos)-KG-MXN",0.9805
2001-06-15,"Distrito Federal-Cuauhtemoc-Mexico City-Rice (small grain, Morelos)-KG-MXN",0.992
2001-07-15,"Distrito Federal-Cuauhtemoc-Mexico City-Rice (small grain, Morelos)-KG-MXN",0.9864
2001-08-15,"Distrito Federal-Cuauhtemoc-Mexico City-Rice (small grain, Morelos)-KG-MXN",0.9816
2001-09-15,"Distrito Federal-Cuauhtemoc-Mexico City-Rice (small grain, Morelos)-KG-MXN",0.9641
2001-10-15,"Distrito Federal-Cuauhtemoc-Mexico City-Rice (small grain, Morelos)-KG-MXN",0.9586
2001-11-15,"Distrito Federal-Cuauhtemoc-Mexico City-Rice (small grain, Morelos)-KG-MXN",0.9725
2001-12-15,"Distrito Federal-Cuauhtemoc-Mexico City-Rice (small grain, Morelos)-KG-MXN",0.9775
2002-01-15,"Distrito Federal-Cuauhtemoc-Mexico City-Rice (small grain, Morelos)-KG-MXN",0.9829
2002-02-15,"Distrito Federal-Cuauhtemoc-Mexico City-Rice (small grain, Morelos)-KG-MXN",0.9865
2002-03-15,"Distrito Federal-Cuauhtemoc-Mexico City-Rice (small grain, Morelos)-KG-MXN",0.9938
2002-04-15,"Distrito Federal-Cuauhtemoc-Mexico City-Rice (small grain, Morelos)-KG-MXN",0.981
2002-05-15,"Distrito Federal-Cuauhtemoc-Mexico City-Rice (small grain, Morelos)-KG-MXN",0.9512
2002-06-15,"Distrito Federal-Cuauhtemoc-Mexico City-Rice (small grain, Morelos)-KG-MXN",0.9157
2002-07-15,"Distrito Federal-Cuauhtemoc-Mexico City-Rice (small grain, Morelos)-KG-MXN",0.9135
2002-08-15,"Distrito Federal-Cuauhtemoc-Mexico City-Rice (small grain, Morelos)-KG-MXN",0.9139
2002-09-15,"Distrito Federal-Cuauhtemoc-Mexico City-Rice (small grain, Morelos)-KG-MXN",0.8771
2002-10-15,"Distrito Federal-Cuauhtemoc-Mexico City-Rice (small grain, Morelos)-KG-MXN",0.8659
2002-11-15,"Distrito Federal-Cuauhtemoc-Mexico City-Rice (small grain, Morelos)-KG-MXN",0.8666
2002-12-15,"Distrito Federal-Cuauhtemoc-Mexico City-Rice (small grain, Morelos)-KG-MXN",0.8603
2003-01-15,"Distrito Federal-Cuauhtemoc-Mexico City-Rice (small grain, Morelos)-KG-MXN",0.8121
2003-02-15,"Distrito Federal-Cuauhtemoc-Mexico City-Rice (small grain, Morelos)-KG-MXN",0.781
2003-03-15,"Distrito Federal-Cuauhtemoc-Mexico City-Rice (small grain, Morelos)-KG-MXN",0.7879
2003-04-15,"Distrito Federal-Cuauhtemoc-Mexico City-Rice (small grain, Morelos)-KG-MXN",0.8106
2003-05-15,"Distrito Federal-Cuauhtemoc-Mexico City-Rice (small grain, Morelos)-KG-MXN",0.8235
2003-06-15,"Distrito Federal-Cuauhtemoc-Mexico City-Rice (small grain, Morelos)-KG-MXN",0.8043
2003-07-15,"Distrito Federal-Cuauhtemoc-Mexico City-Rice (small grain, Morelos)-KG-MXN",0.8012
2003-08-15,"Distrito Federal-Cuauhtemoc-Mexico City-Rice (small grain, Morelos)-KG-MXN",0.7848
2003-09-15,"Distrito Federal-Cuauhtemoc-Mexico City-Rice (small grain, Morelos)-KG-MXN",0.7731
2003-10-15,"Distrito Federal-Cuauhtemoc-Mexico City-Rice (small grain, Morelos)-KG-MXN",0.7808
2003-11-15,"Distrito Federal-Cuauhtemoc-Mexico City-Rice (small grain, Morelos)-KG-MXN",0.7658
2003-12-15,"Distrito Federal-Cuauhtemoc-Mexico City-Rice (small grain, Morelos)-KG-MXN",0.76
2004-01-15,"Distrito Federal-Cuauhtemoc-Mexico City-Rice (small grain, Morelos)-KG-MXN",0.8056
2004-02-15,"Distrito Federal-Cuauhtemoc-Mexico City-Rice (small grain, Morelos)-KG-MXN",0.8649
2004-03-15,"Distrito Federal-Cuauhtemoc-Mexico City-Rice (small grain, Morelos)-KG-MXN",0.9909
2004-04-15,"Distrito Federal-Cuauhtemoc-Mexico City-Rice (small grain, Morelos)-KG-MXN",0.9865
2004-05-15,"Distrito Federal-Cuauhtemoc-Mexico City-Rice (small grain, Morelos)-KG-MXN",1.0576
2004-06-15,"Distrito Federal-Cuauhtemoc-Mexico City-Rice (small grain, Morelos)-KG-MXN",1.1619
2004-07-15,"Distrito Federal-Cuauhtemoc-Mexico City-Rice (small grain, Morelos)-KG-MXN",1.1906
2004-08-15,"Distrito Federal-Cuauhtemoc-Mexico City-Rice (small grain, Morelos)-KG-MXN",1.2162
2004-09-15,"Distrito Federal-Cuauhtemoc-Mexico City-Rice (small grain, Morelos)-KG-MXN",1.1477
2004-10-15,"Distrito Federal-Cuauhtemoc-Mexico City-Rice (small grain, Morelos)-KG-MXN",1.183
2004-11-15,"Distrito Federal-Cuauhtemoc-Mexico City-Rice (small grain, Morelos)-KG-MXN",1.2202
2004-12-15,"Distrito Federal-Cuauhtemoc-Mexico City-Rice (small grain, Morelos)-KG-MXN",1.2555
2005-01-15,"Distrito Federal-Cuauhtemoc-Mexico City-Rice (small grain, Morelos)-KG-MXN",1.241
2005-02-15,"Distrito Federal-Cuauhtemoc-Mexico City-Rice (small grain, Morelos)-KG-MXN",1.2556
2005-03-15,"Distrito Federal-Cuauhtemoc-Mexico City-Rice (small grain, Morelos)-KG-MXN",1.2535
2005-04-15,"Distrito Federal-Cuauhtemoc-Mexico City-Rice (small grain, Morelos)-KG-MXN",1.2633
