date,code,usdprice
#date,#meta+code,#value+usd
2007-01-15,Ulaanbaatar-Chingeltei-Ulaanbaatar-Wheat flour-KG-MNT,0.3431
2007-02-15,Ulaanbaatar-Chingeltei-Ulaanbaatar-Wheat flour-KG-MNT,0.3433
2007-03-15,Ulaanbaatar-Chingeltei-Ulaanbaatar-Wheat flour-KG-MNT,0.3434
2007-04-15,Ulaanbaatar-Chingeltei-Ulaanbaatar-Wheat flour-KG-MNT,0.3416
2007-05-15,Ulaanbaatar-Chingeltei-Ulaanbaatar-Wheat flour-KG-MNT,0.345
2007-06-15,Ulaanbaatar-Chingeltei-Ulaanbaatar-Wheat flour-KG-MNT,0.3486
2007-07-15,Ulaanbaatar-Chingeltei-Ulaanbaatar-Wheat flour-KG-MNT,0.3807
2007-08-15,Ulaanbaatar-Chingeltei-Ulaanbaatar-Wheat flour-KG-MNT,0.4335
2007-09-15,Ulaanbaatar-Chingeltei-Ulaanbaatar-Wheat flour-KG-MNT,0.4819
2007-10-15,Ulaanbaatar-Chingeltei-Ulaanbaatar-Wheat flour-KG-MNT,0.5047
2007-11-15,Ulaanbaatar-Chingeltei-Ulaanbaatar-Wheat flour-KG-MNT,0.5267
2007-12-15,Ulaanbaatar-Chingeltei-Ulaanbaatar-Wheat flour-KG-MNT,0.5569
2008-01-15,Ulaanbaatar-Chingeltei-Ulaanbaatar-Wheat flour-KG-MNT,0.509
2008-02-15,Ulaanbaatar-Chingeltei-Ulaanbaatar-Wheat flour-KG-MNT,0.5436
2008-03-15,Ulaanbaatar-Chingeltei-Ulaanbaatar-Wheat flour-KG-MNT,0.6196
2008-04-15,Ulaanbaatar-Chingeltei-Ulaanbaatar-Wheat flour-KG-MNT,0.7226
2008-05-15,Ulaanbaatar-Chingeltei-Ulaanbaatar-Wheat flour-KG-MNT,0.7531
2008-06-15,Ulaanbaatar-Chingeltei-Ulaanbaatar-Wheat flour-KG-MNT,0.7372
2008-07-15,Ulaanbaatar-Chingeltei-Ulaanbaatar-Wheat flour-KG-MNT,0.7262
2008-08-15,Ulaanbaatar-Chingeltei-Ulaanbaatar-Wheat flour-KG-MNT,0.7301
2008-09-15,Ulaanbaatar-Chingeltei-Ulaanbaatar-Wheat flour-KG-MNT,0.7209
2008-10-15,Ulaanbaatar-Chingeltei-Ulaanbaatar-Wheat flour-KG-MNT,0.7029
2008-11-15,Ulaanbaatar-Chingeltei-Ulaanbaatar-Wheat flour-KG-MNT,0.6652
2008-12-15,Ulaanbaatar-Chingeltei-Ulaanbaatar-Wheat flour-KG-MNT,0.6308
2009-01-15,Ulaanbaatar-Chingeltei-Ulaanbaatar-Wheat flour-KG-MNT,0.57
2009-02-15,Ulaanbaatar-Chingeltei-Ulaanbaatar-Wheat flour-KG-MNT,0.5318
2009-03-15,Ulaanbaatar-Chingeltei-Ulaanbaatar-Wheat flour-KG-MNT,0.5135
2009-04-15,Ulaanbaatar-Chingeltei-Ulaanbaatar-Wheat flour-KG-MNT,0.5187
2009-05-15,Ulaanbaatar-Chingeltei-Ulaanbaatar-Wheat flour-KG-MNT,0.5307
2009-06-15,Ulaanbaatar-Chingeltei-Ulaanbaatar-Wheat flour-KG-MNT,0.5064
2009-07-15,Ulaanbaatar-Chingeltei-Ulaanbaatar-Wheat flour-KG-MNT,0.4987
2009-08-15,Ulaanbaatar-Chingeltei-Ulaanbaatar-Wheat flour-KG-MNT,0.5031
2009-09-15,Ulaanbaatar-Chingeltei-Ulaanbaatar-Wheat flour-KG-MNT,0.5023
2009-10-15,Ulaanbaatar-Chingeltei-Ulaanbaatar-Wheat flour-KG-MNT,0.4921
2009-11-15,Ulaanbaatar-Chingeltei-Ulaanbaatar-Wheat flour-KG-MNT,0.4662
2009-12-15,Ulaanbaatar-Chingeltei-Ulaanbaatar-Wheat flour-KG-MNT,0.4557
2010-01-15,Ulaanbaatar-Chingeltei-Ulaanbaatar-Wheat flour-KG-MNT,0.4593
2010-02-15,Ulaanbaatar-Chingeltei-Ulaanbaatar-Wheat flour-KG-MNT,0.4518
2010-03-15,Ulaanbaatar-Chingeltei-Ulaanbaatar-Wheat flour-KG-MNT,0.4264
2010-04-15,Ulaanbaatar-Chingeltei-Ulaanbaatar-Wheat flour-KG-MNT,0.4068
2010-05-15,Ulaanbaatar-Chingeltei-Ulaanbaatar-Wheat flour-KG-MNT,0.3897
2010-06-15,Ulaanbaatar-Chingeltei-Ulaanbaatar-Wheat flour-KG-MNT,0.4003
2010-07-15,Ulaanbaatar-Chingeltei-Ulaanbaatar-Wheat flour-KG-MNT,0.3866
2010-08-15,Ulaanbaatar-Chingeltei-Ulaanbaatar-Wheat flour-KG-MNT,0.5095
2010-09-15,Ulaanbaatar-Chingeltei-Ulaanbaatar-Wheat flour-KG-MNT,0.542
2010-10-15,Ulaanbaatar-Chingeltei-Ulaanbaatar-Wheat flour-KG-MNT,0.5532
2010-11-15,Ulaanbaatar-Chingeltei-Ulaanbaatar-Wheat flour-KG-MNT,0.5646
2010-12-15,Ulaanbaatar-Chingeltei-Ulaanbaatar-Wheat flour-KG-MNT,0.5785
2011-01-15,Ulaanbaatar-Chingeltei-Ulaanbaatar-Wheat flour-KG-MNT,0.5935
