date,code,usdprice
#date,#meta+code,#value+usd
2009-06-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.1601
2009-07-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.1991
2009-08-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.164
2009-09-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.1863
2009-10-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.2056
2009-11-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.2015
2009-12-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.2036
2010-01-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.2694
2010-02-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.2648
2010-03-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.2518
2010-04-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.1178
2010-05-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.1663
2010-06-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.1185
2010-07-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.1154
2010-08-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.1285
2010-09-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.1667
2010-10-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.2057
2010-11-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.1986
2011-01-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.2309
2011-02-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.2244
2011-03-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.1705
2011-04-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.1639
2011-05-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.1657
2011-06-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.1884
2011-07-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.1905
2011-08-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.2062
2011-09-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.2048
2011-10-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.2216
2011-11-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.1776
2012-01-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.211
2012-02-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.2408
2012-03-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.2093
2012-04-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.1793
2012-05-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.2152
2012-06-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.2216
2012-07-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.2263
2012-08-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.2975
2012-09-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.2768
2012-10-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.3686
2012-11-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.3972
2012-12-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.3826
2013-01-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.3857
2013-02-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.4545
2013-03-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.4169
2013-04-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.2565
2013-05-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.2403
2013-06-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.263
2013-07-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.2767
2013-08-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.3086
2013-09-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.4053
2013-10-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.4838
2013-12-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.4942
2014-01-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.4754
2014-02-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.4536
2014-03-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.4298
2014-04-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.2752
2014-05-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.219
2014-06-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.2125
2014-07-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.2342
2014-08-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.2464
2014-09-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.2638
2014-10-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.2978
2014-11-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.3145
2014-12-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.287
2015-01-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.327
2015-02-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.2824
2015-03-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.2552
2015-04-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.2981
2015-05-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.2897
2015-06-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.2243
2015-07-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.2992
2015-09-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.2964
2015-10-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.3652
2015-11-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.2944
2015-12-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.3429
2016-01-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.4546
2016-02-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.4286
2016-03-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.4431
2016-04-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.2239
2016-06-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.3422
2016-07-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.3499
2016-08-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.319
2016-09-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.3916
2016-11-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.3891
2016-12-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.3933
2017-01-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.3219
2017-02-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.357
2017-03-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.2918
2017-04-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.2156
2017-05-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.1622
2017-06-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.1626
2017-07-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.1316
2017-08-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.1224
2017-09-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.1318
2017-10-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.1334
2017-11-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.1187
2017-12-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.1127
2018-01-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.1372
2018-03-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.1825
2018-04-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.1244
2018-05-15,Zambezia-Alto_Molocue-Alto Molócuè-Maize (white)-KG-MZN,0.0985
