date,code,usdprice
#date,#meta+code,#value+usd
2015-01-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,68.2874
2015-02-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,70.7214
2015-03-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,63.9696
2015-04-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,60.3015
2015-05-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,61.3309
2015-08-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,60.9137
2015-09-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,63.3325
2015-10-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,65.3431
2015-11-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,65.9898
2015-12-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,62.2767
2016-01-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,59.3536
2016-02-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,61.5576
2016-03-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,63.5712
2016-04-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,69.196
2016-05-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,78.9848
2016-06-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,100.553
2016-07-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,85.5706
2016-08-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,77.2714
2016-09-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,78.2525
2016-10-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,79.6384
2016-11-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,78.7302
2016-12-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,77.1429
2017-01-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,88.4895
2017-02-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,8598.7258
2017-03-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,87.8981
2017-04-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,90.9833
2017-05-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,88.254
2017-06-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,119.8276
2017-07-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,92.8775
2017-08-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,89.7753
2017-09-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,101.4286
2017-10-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,115.2811
2017-11-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,98.3146
2017-12-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,97.7654
2018-02-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,85.437
2018-03-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,88.9384
2018-04-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,107.9578
2018-05-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,97.2222
2018-07-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,116.0804
2018-08-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,96.1111
2018-09-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,114.2857
2018-10-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,96.5517
2018-11-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,96.1538
2018-12-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,114.0449
2019-02-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,97.493
2019-03-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,98.4594
2019-04-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,97.3574
2019-08-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,99.2638
2019-09-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,118.8925
2019-10-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,104.7486
2019-11-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,100.5587
2019-12-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,117.2638
2020-01-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,100.0
2020-02-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,117.2737
2020-03-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,107.3241
2020-04-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,96.6234
2020-05-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,99.3582
2020-06-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,100.7752
2020-07-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,102.4913
2020-08-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,106.3415
2020-09-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,111.1702
2020-10-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-NGN,99.326
