date,code,usdprice
#date,#meta+code,#value+usd
2000-01-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",20.1279
2000-02-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",20.0927
2000-03-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",20.2663
2000-04-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",20.1215
2000-05-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",20.059
2000-06-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",19.8945
2000-07-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",19.5827
2000-08-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",19.5943
2000-09-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",19.3716
2000-10-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",19.2855
2000-11-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",19.118
2000-12-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",19.1951
2001-01-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",19.9921
2001-02-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",19.7429
2001-03-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",19.6313
2001-04-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",19.6617
2001-05-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",19.9141
2001-06-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",19.6249
2001-07-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",19.3782
2001-08-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",20.7597
2001-09-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",21.0511
2001-10-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",20.5475
2001-11-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",20.1549
2001-12-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",19.7689
2002-01-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",20.2717
2002-02-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",19.4931
2002-03-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",19.0699
2002-04-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",19.0163
2002-05-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",19.0619
2002-06-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",18.8889
2002-07-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",18.9066
2002-08-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",18.7805
2002-09-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",18.7398
2002-10-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",18.6537
2002-11-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",18.5046
2002-12-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",18.5645
2003-01-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",18.6728
2003-02-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",18.3898
2003-03-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",18.5018
2003-04-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",18.4326
2003-05-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",18.5446
2003-06-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",18.6794
2003-07-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",18.6417
2003-08-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",18.8368
2003-09-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",18.9689
2003-10-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",18.9193
2003-11-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",18.8052
2003-12-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",19.376
2004-01-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",22.1942
2004-02-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",22.3286
2004-03-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",23.1101
2004-04-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",23.1069
2004-05-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",22.5075
2004-06-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",23.4146
2004-07-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",24.2367
2004-08-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",24.3184
2004-09-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",25.7202
2004-10-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",25.7124
2004-11-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",25.7192
2004-12-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",25.5821
2005-01-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",24.634
2005-02-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",26.1069
2005-03-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",25.9686
2005-04-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",26.444
2005-05-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",24.434
2005-06-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",25.911
2005-07-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",25.915
2005-08-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",25.9354
2005-09-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",26.1121
2005-10-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",23.8309
2005-11-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",25.4362
2005-12-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",26.2658
2006-01-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",24.1753
2006-02-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",26.0256
2006-03-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",26.241
2006-04-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",24.7091
2006-05-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",26.1956
2006-06-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",27.4135
2006-07-15,"Managua-Managua-Managua-Rice (ordinary, second quality)-46 KG-NIO",25.9853
