date,code,usdprice
#date,#meta+code,#value+usd
2006-01-15,Panamá-San Miguelito-Panama City-Maize-Libra-PAB,0.22
2006-02-15,Panamá-San Miguelito-Panama City-Maize-Libra-PAB,0.2287
2006-03-15,Panamá-San Miguelito-Panama City-Maize-Libra-PAB,0.2293
2006-04-15,Panamá-San Miguelito-Panama City-Maize-Libra-PAB,0.22
2006-05-15,Panamá-San Miguelito-Panama City-Maize-Libra-PAB,0.2279
2006-06-15,Panamá-San Miguelito-Panama City-Maize-Libra-PAB,0.2283
2006-07-15,Panamá-San Miguelito-Panama City-Maize-Libra-PAB,0.22
2006-08-15,Panamá-San Miguelito-Panama City-Maize-Libra-PAB,0.2281
2006-09-15,Panamá-San Miguelito-Panama City-Maize-Libra-PAB,0.2275
2006-10-15,Panamá-San Miguelito-Panama City-Maize-Libra-PAB,0.22
2006-11-15,Panamá-San Miguelito-Panama City-Maize-Libra-PAB,0.2703
2006-12-15,Panamá-San Miguelito-Panama City-Maize-Libra-PAB,0.2172
2007-01-15,Panamá-San Miguelito-Panama City-Maize-Libra-PAB,0.228
2007-02-15,Panamá-San Miguelito-Panama City-Maize-Libra-PAB,0.2072
2007-03-15,Panamá-San Miguelito-Panama City-Maize-Libra-PAB,0.2074
2007-04-15,Panamá-San Miguelito-Panama City-Maize-Libra-PAB,0.2
2007-05-15,Panamá-San Miguelito-Panama City-Maize-Libra-PAB,0.2078
2007-06-15,Panamá-San Miguelito-Panama City-Maize-Libra-PAB,0.2051
2007-07-15,Panamá-San Miguelito-Panama City-Maize-Libra-PAB,0.2
2007-08-15,Panamá-San Miguelito-Panama City-Maize-Libra-PAB,0.2029
2007-09-15,Panamá-San Miguelito-Panama City-Maize-Libra-PAB,0.23
2007-10-15,Panamá-San Miguelito-Panama City-Maize-Libra-PAB,0.2336
2007-11-15,Panamá-San Miguelito-Panama City-Maize-Libra-PAB,0.2541
2007-12-15,Panamá-San Miguelito-Panama City-Maize-Libra-PAB,0.25
2008-01-15,Panamá-San Miguelito-Panama City-Maize-Libra-PAB,0.2528
2008-02-15,Panamá-San Miguelito-Panama City-Maize-Libra-PAB,0.2442
2008-03-15,Panamá-San Miguelito-Panama City-Maize-Libra-PAB,0.22
2008-04-15,Panamá-San Miguelito-Panama City-Maize-Libra-PAB,0.2229
2008-05-15,Panamá-San Miguelito-Panama City-Maize-Libra-PAB,0.1722
2008-06-15,Panamá-San Miguelito-Panama City-Maize-Libra-PAB,0.24
2008-07-15,Panamá-San Miguelito-Panama City-Maize-Libra-PAB,0.2623
2008-08-15,Panamá-San Miguelito-Panama City-Maize-Libra-PAB,0.27
2008-09-15,Panamá-San Miguelito-Panama City-Maize-Libra-PAB,0.2868
