date,code,usdprice
#date,#meta+code,#value+usd
1995-01-15,"LIMA-LIMA-Lima-Rice (regular, milled)-KG-PEN",0.5813
1995-02-15,"LIMA-LIMA-Lima-Rice (regular, milled)-KG-PEN",0.5788
1995-03-15,"LIMA-LIMA-Lima-Rice (regular, milled)-KG-PEN",0.5703
1995-04-15,"LIMA-LIMA-Lima-Rice (regular, milled)-KG-PEN",0.5822
1995-05-15,"LIMA-LIMA-Lima-Rice (regular, milled)-KG-PEN",0.588
1995-06-15,"LIMA-LIMA-Lima-Rice (regular, milled)-KG-PEN",0.588
1995-07-15,"LIMA-LIMA-Lima-Rice (regular, milled)-KG-PEN",0.5963
1995-08-15,"LIMA-LIMA-Lima-Rice (regular, milled)-KG-PEN",0.5952
1995-09-15,"LIMA-LIMA-Lima-Rice (regular, milled)-KG-PEN",0.5956
1995-10-15,"LIMA-LIMA-Lima-Rice (regular, milled)-KG-PEN",0.5987
1995-11-15,"LIMA-LIMA-Lima-Rice (regular, milled)-KG-PEN",0.6157
1995-12-15,"LIMA-LIMA-Lima-Rice (regular, milled)-KG-PEN",0.6263
1996-01-15,"LIMA-LIMA-Lima-Rice (regular, milled)-KG-PEN",0.6512
1996-02-15,"LIMA-LIMA-Lima-Rice (regular, milled)-KG-PEN",0.678
1996-03-15,"LIMA-LIMA-Lima-Rice (regular, milled)-KG-PEN",0.7034
1996-04-15,"LIMA-LIMA-Lima-Rice (regular, milled)-KG-PEN",0.7315
1996-05-15,"LIMA-LIMA-Lima-Rice (regular, milled)-KG-PEN",0.7309
1996-06-15,"LIMA-LIMA-Lima-Rice (regular, milled)-KG-PEN",0.716
1996-07-15,"LIMA-LIMA-Lima-Rice (regular, milled)-KG-PEN",0.6885
1996-08-15,"LIMA-LIMA-Lima-Rice (regular, milled)-KG-PEN",0.6842
1996-09-15,"LIMA-LIMA-Lima-Rice (regular, milled)-KG-PEN",0.6827
1996-10-15,"LIMA-LIMA-Lima-Rice (regular, milled)-KG-PEN",0.6735
1996-11-15,"LIMA-LIMA-Lima-Rice (regular, milled)-KG-PEN",0.6705
1996-12-15,"LIMA-LIMA-Lima-Rice (regular, milled)-KG-PEN",0.6706
1997-01-15,"LIMA-LIMA-Lima-Rice (regular, milled)-KG-PEN",0.6643
1997-02-15,"LIMA-LIMA-Lima-Rice (regular, milled)-KG-PEN",0.6615
1997-03-15,"LIMA-LIMA-Lima-Rice (regular, milled)-KG-PEN",0.6604
1997-04-15,"LIMA-LIMA-Lima-Rice (regular, milled)-KG-PEN",0.6617
1997-05-15,"LIMA-LIMA-Lima-Rice (regular, milled)-KG-PEN",0.6592
1997-06-15,"LIMA-LIMA-Lima-Rice (regular, milled)-KG-PEN",0.6604
1997-07-15,"LIMA-LIMA-Lima-Rice (regular, milled)-KG-PEN",0.6654
1997-08-15,"LIMA-LIMA-Lima-Rice (regular, milled)-KG-PEN",0.6654
1997-09-15,"LIMA-LIMA-Lima-Rice (regular, milled)-KG-PEN",0.6667
1997-10-15,"LIMA-LIMA-Lima-Rice (regular, milled)-KG-PEN",0.6632
1997-11-15,"LIMA-LIMA-Lima-Rice (regular, milled)-KG-PEN",0.6691
1997-12-15,"LIMA-LIMA-Lima-Rice (regular, milled)-KG-PEN",0.6789
1998-01-15,"LIMA-LIMA-Lima-Rice (regular, milled)-KG-PEN",0.6874
1998-02-15,"LIMA-LIMA-Lima-Rice (regular, milled)-KG-PEN",0.7129
1998-03-15,"LIMA-LIMA-Lima-Rice (regular, milled)-KG-PEN",0.7438
1998-04-15,"LIMA-LIMA-Lima-Rice (regular, milled)-KG-PEN",0.7695
1998-05-15,"LIMA-LIMA-Lima-Rice (regular, milled)-KG-PEN",0.7699
1998-06-15,"LIMA-LIMA-Lima-Rice (regular, milled)-KG-PEN",0.7496
1998-07-15,"LIMA-LIMA-Lima-Rice (regular, milled)-KG-PEN",0.7406
1998-08-15,"LIMA-LIMA-Lima-Rice (regular, milled)-KG-PEN",0.7264
1998-09-15,"LIMA-LIMA-Lima-Rice (regular, milled)-KG-PEN",0.7195
1998-10-15,"LIMA-LIMA-Lima-Rice (regular, milled)-KG-PEN",0.7235
1998-11-15,"LIMA-LIMA-Lima-Rice (regular, milled)-KG-PEN",0.7314
1998-12-15,"LIMA-LIMA-Lima-Rice (regular, milled)-KG-PEN",0.7307
1999-01-15,"LIMA-LIMA-Lima-Rice (regular, milled)-KG-PEN",0.7062
1999-02-15,"LIMA-LIMA-Lima-Rice (regular, milled)-KG-PEN",0.67
1999-03-15,"LIMA-LIMA-Lima-Rice (regular, milled)-KG-PEN",0.6722
1999-04-15,"LIMA-LIMA-Lima-Rice (regular, milled)-KG-PEN",0.6826
1999-05-15,"LIMA-LIMA-Lima-Rice (regular, milled)-KG-PEN",0.6826
1999-06-15,"LIMA-LIMA-Lima-Rice (regular, milled)-KG-PEN",0.6647
1999-07-15,"LIMA-LIMA-Lima-Rice (regular, milled)-KG-PEN",0.6437
1999-08-15,"LIMA-LIMA-Lima-Rice (regular, milled)-KG-PEN",0.645
1999-09-15,"LIMA-LIMA-Lima-Rice (regular, milled)-KG-PEN",0.6336
1999-10-15,"LIMA-LIMA-Lima-Rice (regular, milled)-KG-PEN",0.6274
1999-11-15,"LIMA-LIMA-Lima-Rice (regular, milled)-KG-PEN",0.6246
1999-12-15,"LIMA-LIMA-Lima-Rice (regular, milled)-KG-PEN",0.6229
