date,code,usdprice
#date,#meta+code,#value+usd
2008-04-15,Tatarstan Rep.-Administrative unit not available-Volga region-Wheat flour (high grade)-KG-RUB,0.586
2008-05-15,Tatarstan Rep.-Administrative unit not available-Volga region-Wheat flour (high grade)-KG-RUB,0.5743
2008-06-15,Tatarstan Rep.-Administrative unit not available-Volga region-Wheat flour (high grade)-KG-RUB,0.5599
2008-07-15,Tatarstan Rep.-Administrative unit not available-Volga region-Wheat flour (high grade)-KG-RUB,0.5544
2008-08-15,Tatarstan Rep.-Administrative unit not available-Volga region-Wheat flour (high grade)-KG-RUB,0.4901
2008-09-15,Tatarstan Rep.-Administrative unit not available-Volga region-Wheat flour (high grade)-KG-RUB,0.4311
2008-10-15,Tatarstan Rep.-Administrative unit not available-Volga region-Wheat flour (high grade)-KG-RUB,0.3983
2008-11-15,Tatarstan Rep.-Administrative unit not available-Volga region-Wheat flour (high grade)-KG-RUB,0.3597
2008-12-15,Tatarstan Rep.-Administrative unit not available-Volga region-Wheat flour (high grade)-KG-RUB,0.3373
2009-01-15,Tatarstan Rep.-Administrative unit not available-Volga region-Wheat flour (high grade)-KG-RUB,0.2908
2009-02-15,Tatarstan Rep.-Administrative unit not available-Volga region-Wheat flour (high grade)-KG-RUB,0.2739
2009-03-15,Tatarstan Rep.-Administrative unit not available-Volga region-Wheat flour (high grade)-KG-RUB,0.2719
2009-04-15,Tatarstan Rep.-Administrative unit not available-Volga region-Wheat flour (high grade)-KG-RUB,0.2759
2009-05-15,Tatarstan Rep.-Administrative unit not available-Volga region-Wheat flour (high grade)-KG-RUB,0.2831
2009-06-15,Tatarstan Rep.-Administrative unit not available-Volga region-Wheat flour (high grade)-KG-RUB,0.2956
2009-07-15,Tatarstan Rep.-Administrative unit not available-Volga region-Wheat flour (high grade)-KG-RUB,0.3009
2009-08-15,Tatarstan Rep.-Administrative unit not available-Volga region-Wheat flour (high grade)-KG-RUB,0.2957
2009-09-15,Tatarstan Rep.-Administrative unit not available-Volga region-Wheat flour (high grade)-KG-RUB,0.277
2009-10-15,Tatarstan Rep.-Administrative unit not available-Volga region-Wheat flour (high grade)-KG-RUB,0.2609
2009-11-15,Tatarstan Rep.-Administrative unit not available-Volga region-Wheat flour (high grade)-KG-RUB,0.2514
2009-12-15,Tatarstan Rep.-Administrative unit not available-Volga region-Wheat flour (high grade)-KG-RUB,0.2418
2010-01-15,Tatarstan Rep.-Administrative unit not available-Volga region-Wheat flour (high grade)-KG-RUB,0.2462
2010-02-15,Tatarstan Rep.-Administrative unit not available-Volga region-Wheat flour (high grade)-KG-RUB,0.2407
2010-03-15,Tatarstan Rep.-Administrative unit not available-Volga region-Wheat flour (high grade)-KG-RUB,0.2469
2010-04-15,Tatarstan Rep.-Administrative unit not available-Volga region-Wheat flour (high grade)-KG-RUB,0.2439
2010-05-15,Tatarstan Rep.-Administrative unit not available-Volga region-Wheat flour (high grade)-KG-RUB,0.2331
2010-06-15,Tatarstan Rep.-Administrative unit not available-Volga region-Wheat flour (high grade)-KG-RUB,0.2223
2010-07-15,Tatarstan Rep.-Administrative unit not available-Volga region-Wheat flour (high grade)-KG-RUB,0.2785
2010-08-15,Tatarstan Rep.-Administrative unit not available-Volga region-Wheat flour (high grade)-KG-RUB,0.3814
2010-09-15,Tatarstan Rep.-Administrative unit not available-Volga region-Wheat flour (high grade)-KG-RUB,0.3661
2010-10-15,Tatarstan Rep.-Administrative unit not available-Volga region-Wheat flour (high grade)-KG-RUB,0.3637
2010-11-15,Tatarstan Rep.-Administrative unit not available-Volga region-Wheat flour (high grade)-KG-RUB,0.3553
2010-12-15,Tatarstan Rep.-Administrative unit not available-Volga region-Wheat flour (high grade)-KG-RUB,0.3656
2011-01-15,Tatarstan Rep.-Administrative unit not available-Volga region-Wheat flour (high grade)-KG-RUB,0.3773
2011-02-15,Tatarstan Rep.-Administrative unit not available-Volga region-Wheat flour (high grade)-KG-RUB,0.3907
2011-03-15,Tatarstan Rep.-Administrative unit not available-Volga region-Wheat flour (high grade)-KG-RUB,0.3988
2011-04-15,Tatarstan Rep.-Administrative unit not available-Volga region-Wheat flour (high grade)-KG-RUB,0.3801
2011-05-15,Tatarstan Rep.-Administrative unit not available-Volga region-Wheat flour (high grade)-KG-RUB,0.3618
2011-06-15,Tatarstan Rep.-Administrative unit not available-Volga region-Wheat flour (high grade)-KG-RUB,0.3566
2011-07-15,Tatarstan Rep.-Administrative unit not available-Volga region-Wheat flour (high grade)-KG-RUB,0.3523
2011-08-15,Tatarstan Rep.-Administrative unit not available-Volga region-Wheat flour (high grade)-KG-RUB,0.3159
2011-09-15,Tatarstan Rep.-Administrative unit not available-Volga region-Wheat flour (high grade)-KG-RUB,0.2991
2011-10-15,Tatarstan Rep.-Administrative unit not available-Volga region-Wheat flour (high grade)-KG-RUB,0.3
2011-11-15,Tatarstan Rep.-Administrative unit not available-Volga region-Wheat flour (high grade)-KG-RUB,0.3041
2011-12-15,Tatarstan Rep.-Administrative unit not available-Volga region-Wheat flour (high grade)-KG-RUB,0.2889
2012-01-15,Tatarstan Rep.-Administrative unit not available-Volga region-Wheat flour (high grade)-KG-RUB,0.2922
2012-02-15,Tatarstan Rep.-Administrative unit not available-Volga region-Wheat flour (high grade)-KG-RUB,0.3097
2012-03-15,Tatarstan Rep.-Administrative unit not available-Volga region-Wheat flour (high grade)-KG-RUB,0.3179
2012-04-15,Tatarstan Rep.-Administrative unit not available-Volga region-Wheat flour (high grade)-KG-RUB,0.3242
2012-05-15,Tatarstan Rep.-Administrative unit not available-Volga region-Wheat flour (high grade)-KG-RUB,0.3144
2012-06-15,Tatarstan Rep.-Administrative unit not available-Volga region-Wheat flour (high grade)-KG-RUB,0.3102
2012-07-15,Tatarstan Rep.-Administrative unit not available-Volga region-Wheat flour (high grade)-KG-RUB,0.3545
2012-08-15,Tatarstan Rep.-Administrative unit not available-Volga region-Wheat flour (high grade)-KG-RUB,0.4143
2012-09-15,Tatarstan Rep.-Administrative unit not available-Volga region-Wheat flour (high grade)-KG-RUB,0.424
2012-10-15,Tatarstan Rep.-Administrative unit not available-Volga region-Wheat flour (high grade)-KG-RUB,0.4565
