date,code,usdprice
#date,#meta+code,#value+usd
2003-04-15,South Kordofan-Kadugli-Kadugli-Millet-3.5 KG-SDG,0.7662
2003-06-15,South Kordofan-Kadugli-Kadugli-Millet-3.5 KG-SDG,0.7017
2004-06-15,South Kordofan-Kadugli-Kadugli-Millet-3.5 KG-SDG,0.7708
2004-08-15,South Kordofan-Kadugli-Kadugli-Millet-3.5 KG-SDG,0.8996
2004-10-15,South Kordofan-Kadugli-Kadugli-Millet-3.5 KG-SDG,1.0096
2004-11-15,South Kordofan-Kadugli-Kadugli-Millet-3.5 KG-SDG,1.1186
2004-12-15,South Kordofan-Kadugli-Kadugli-Millet-3.5 KG-SDG,1.1271
2005-01-15,South Kordofan-Kadugli-Kadugli-Millet-3.5 KG-SDG,1.596
2005-02-15,South Kordofan-Kadugli-Kadugli-Millet-3.5 KG-SDG,1.5979
2005-05-15,South Kordofan-Kadugli-Kadugli-Millet-3.5 KG-SDG,1.6078
2005-06-15,South Kordofan-Kadugli-Kadugli-Millet-3.5 KG-SDG,1.9181
2005-07-15,South Kordofan-Kadugli-Kadugli-Millet-3.5 KG-SDG,2.0406
2005-08-15,South Kordofan-Kadugli-Kadugli-Millet-3.5 KG-SDG,2.267
2005-09-15,South Kordofan-Kadugli-Kadugli-Millet-3.5 KG-SDG,2.3939
2005-10-15,South Kordofan-Kadugli-Kadugli-Millet-3.5 KG-SDG,2.2226
2005-11-15,South Kordofan-Kadugli-Kadugli-Millet-3.5 KG-SDG,1.7194
2005-12-15,South Kordofan-Kadugli-Kadugli-Millet-3.5 KG-SDG,1.6247
2006-01-15,South Kordofan-Kadugli-Kadugli-Millet-3.5 KG-SDG,1.3024
2006-02-15,South Kordofan-Kadugli-Kadugli-Millet-3.5 KG-SDG,1.7449
2006-03-15,South Kordofan-Kadugli-Kadugli-Millet-3.5 KG-SDG,1.3206
2006-04-15,South Kordofan-Kadugli-Kadugli-Millet-3.5 KG-SDG,1.782
2006-05-15,South Kordofan-Kadugli-Kadugli-Millet-3.5 KG-SDG,1.803
2006-06-15,South Kordofan-Kadugli-Kadugli-Millet-3.5 KG-SDG,1.8265
2006-07-15,South Kordofan-Kadugli-Kadugli-Millet-3.5 KG-SDG,1.8523
2006-08-15,South Kordofan-Kadugli-Kadugli-Millet-3.5 KG-SDG,1.8786
2006-09-15,South Kordofan-Kadugli-Kadugli-Millet-3.5 KG-SDG,1.903
2006-10-15,South Kordofan-Kadugli-Kadugli-Millet-3.5 KG-SDG,1.9282
2006-11-15,South Kordofan-Kadugli-Kadugli-Millet-3.5 KG-SDG,1.5876
2006-12-15,South Kordofan-Kadugli-Kadugli-Millet-3.5 KG-SDG,1.482
2007-01-15,South Kordofan-Kadugli-Kadugli-Millet-3.5 KG-SDG,1.492
2007-02-15,South Kordofan-Kadugli-Kadugli-Millet-3.5 KG-SDG,1.4949
2007-03-15,South Kordofan-Kadugli-Kadugli-Millet-3.5 KG-SDG,1.2466
2007-04-15,South Kordofan-Kadugli-Kadugli-Millet-3.5 KG-SDG,1.2468
2007-05-15,South Kordofan-Kadugli-Kadugli-Millet-3.5 KG-SDG,1.2465
2007-06-15,South Kordofan-Kadugli-Kadugli-Millet-3.5 KG-SDG,1.2464
2007-07-15,South Kordofan-Kadugli-Kadugli-Millet-3.5 KG-SDG,1.3303
2007-08-15,South Kordofan-Kadugli-Kadugli-Millet-3.5 KG-SDG,1.4957
2007-09-15,South Kordofan-Kadugli-Kadugli-Millet-3.5 KG-SDG,1.4835
2007-10-15,South Kordofan-Kadugli-Kadugli-Millet-3.5 KG-SDG,1.2275
2007-11-15,South Kordofan-Kadugli-Kadugli-Millet-3.5 KG-SDG,1.393
2007-12-15,South Kordofan-Kadugli-Kadugli-Millet-3.5 KG-SDG,1.6726
2008-01-15,South Kordofan-Kadugli-Kadugli-Millet-3.5 KG-SDG,1.4882
2008-02-15,South Kordofan-Kadugli-Kadugli-Millet-3.5 KG-SDG,1.5116
2008-03-15,South Kordofan-Kadugli-Kadugli-Millet-3.5 KG-SDG,1.4838
2008-04-15,South Kordofan-Kadugli-Kadugli-Millet-3.5 KG-SDG,1.6638
2008-05-15,South Kordofan-Kadugli-Kadugli-Millet-3.5 KG-SDG,1.9594
