date,code,usdprice
#date,#meta+code,#value+usd
2013-01-15,Western Area-Western Urban-Freetown-Rice (imported)-KG-SLL,0.8142
2013-02-15,Western Area-Western Urban-Freetown-Rice (imported)-KG-SLL,0.8745
2013-05-15,Western Area-Western Urban-Freetown-Rice (imported)-KG-SLL,0.9392
2013-05-15,Western Area-Western Urban-Freetown-Rice (imported)-KG-SLL,0.9392
2013-06-15,Western Area-Western Urban-Freetown-Rice (imported)-KG-SLL,0.2265
2013-06-15,Western Area-Western Urban-Freetown-Rice (imported)-KG-SLL,0.2265
2013-08-15,Western Area-Western Urban-Freetown-Rice (imported)-KG-SLL,0.8449
2013-09-15,Western Area-Western Urban-Freetown-Rice (imported)-KG-SLL,0.2038
2013-10-15,Western Area-Western Urban-Freetown-Rice (imported)-KG-SLL,0.6527
2013-10-15,Western Area-Western Urban-Freetown-Rice (imported)-KG-SLL,0.6527
2013-11-15,Western Area-Western Urban-Freetown-Rice (imported)-KG-SLL,0.658
2013-11-15,Western Area-Western Urban-Freetown-Rice (imported)-KG-SLL,0.658
2013-12-15,Western Area-Western Urban-Freetown-Rice (imported)-KG-SLL,0.1812
2014-01-15,Western Area-Western Urban-Freetown-Rice (imported)-KG-SLL,0.7454
2014-02-15,Western Area-Western Urban-Freetown-Rice (imported)-KG-SLL,0.2076
2014-02-15,Western Area-Western Urban-Freetown-Rice (imported)-KG-SLL,0.2076
2014-03-15,Western Area-Western Urban-Freetown-Rice (imported)-KG-SLL,0.2038
2014-04-15,Western Area-Western Urban-Freetown-Rice (imported)-KG-SLL,0.839
2014-04-15,Western Area-Western Urban-Freetown-Rice (imported)-KG-SLL,0.839
2014-05-15,Western Area-Western Urban-Freetown-Rice (imported)-KG-SLL,0.9011
2014-05-15,Western Area-Western Urban-Freetown-Rice (imported)-KG-SLL,0.9011
2014-06-15,Western Area-Western Urban-Freetown-Rice (imported)-KG-SLL,0.2038
2014-06-15,Western Area-Western Urban-Freetown-Rice (imported)-KG-SLL,0.2038
2014-07-15,Western Area-Western Urban-Freetown-Rice (imported)-KG-SLL,0.8378
2014-08-15,Western Area-Western Urban-Freetown-Rice (imported)-KG-SLL,0.7965
2014-09-15,Western Area-Western Urban-Freetown-Rice (imported)-KG-SLL,0.832
2014-11-15,Western Area-Western Urban-Freetown-Rice (imported)-KG-SLL,0.2038
2014-11-15,Western Area-Western Urban-Freetown-Rice (imported)-KG-SLL,0.2038
2014-12-15,Western Area-Western Urban-Freetown-Rice (imported)-KG-SLL,0.8294
2015-01-15,Western Area-Western Urban-Freetown-Rice (imported)-KG-SLL,0.7858
2015-01-15,Western Area-Western Urban-Freetown-Rice (imported)-KG-SLL,0.7858
2015-02-15,Western Area-Western Urban-Freetown-Rice (imported)-KG-SLL,0.1826
2015-02-15,Western Area-Western Urban-Freetown-Rice (imported)-KG-SLL,0.1826
2015-03-15,Western Area-Western Urban-Freetown-Rice (imported)-KG-SLL,0.1854
