date,code,usdprice
#date,#meta+code,#value+usd
2006-01-15,SAN SALVADOR-SAN SALVADOR-San Salvador-Sorghum-46 KG-USD,8.71
2006-01-15,SAN SALVADOR-SAN SALVADOR-San Salvador-Sorghum-46 KG-USD,8.71
2006-02-15,SAN SALVADOR-SAN SALVADOR-San Salvador-Sorghum-46 KG-USD,8.7
2006-02-15,SAN SALVADOR-SAN SALVADOR-San Salvador-Sorghum-46 KG-USD,8.7
2006-03-15,SAN SALVADOR-SAN SALVADOR-San Salvador-Sorghum-46 KG-USD,11.68
2006-03-15,SAN SALVADOR-SAN SALVADOR-San Salvador-Sorghum-46 KG-USD,11.68
2006-04-15,SAN SALVADOR-SAN SALVADOR-San Salvador-Sorghum-46 KG-USD,12.13
2006-04-15,SAN SALVADOR-SAN SALVADOR-San Salvador-Sorghum-46 KG-USD,12.13
2006-05-15,SAN SALVADOR-SAN SALVADOR-San Salvador-Sorghum-46 KG-USD,12.13
2006-05-15,SAN SALVADOR-SAN SALVADOR-San Salvador-Sorghum-46 KG-USD,12.13
2006-06-15,SAN SALVADOR-SAN SALVADOR-San Salvador-Sorghum-46 KG-USD,12.99
2006-06-15,SAN SALVADOR-SAN SALVADOR-San Salvador-Sorghum-46 KG-USD,12.99
2006-07-15,SAN SALVADOR-SAN SALVADOR-San Salvador-Sorghum-46 KG-USD,14.91
2006-07-15,SAN SALVADOR-SAN SALVADOR-San Salvador-Sorghum-46 KG-USD,14.91
2006-08-15,SAN SALVADOR-SAN SALVADOR-San Salvador-Sorghum-46 KG-USD,14.99
2006-08-15,SAN SALVADOR-SAN SALVADOR-San Salvador-Sorghum-46 KG-USD,14.99
2006-09-15,SAN SALVADOR-SAN SALVADOR-San Salvador-Sorghum-46 KG-USD,17.14
2006-09-15,SAN SALVADOR-SAN SALVADOR-San Salvador-Sorghum-46 KG-USD,17.14
2006-10-15,SAN SALVADOR-SAN SALVADOR-San Salvador-Sorghum-46 KG-USD,20.2
2006-10-15,SAN SALVADOR-SAN SALVADOR-San Salvador-Sorghum-46 KG-USD,20.2
2006-11-15,SAN SALVADOR-SAN SALVADOR-San Salvador-Sorghum-46 KG-USD,20.35
2006-11-15,SAN SALVADOR-SAN SALVADOR-San Salvador-Sorghum-46 KG-USD,20.35
2006-12-15,SAN SALVADOR-SAN SALVADOR-San Salvador-Sorghum-46 KG-USD,13.79
2007-01-15,SAN SALVADOR-SAN SALVADOR-San Salvador-Sorghum-46 KG-USD,9.99
2007-01-15,SAN SALVADOR-SAN SALVADOR-San Salvador-Sorghum-46 KG-USD,9.99
2007-02-15,SAN SALVADOR-SAN SALVADOR-San Salvador-Sorghum-46 KG-USD,11.18
2007-02-15,SAN SALVADOR-SAN SALVADOR-San Salvador-Sorghum-46 KG-USD,11.18
2007-03-15,SAN SALVADOR-SAN SALVADOR-San Salvador-Sorghum-46 KG-USD,11.03
2007-03-15,SAN SALVADOR-SAN SALVADOR-San Salvador-Sorghum-46 KG-USD,11.03
2007-04-15,SAN SALVADOR-SAN SALVADOR-San Salvador-Sorghum-46 KG-USD,12.02
2007-04-15,SAN SALVADOR-SAN SALVADOR-San Salvador-Sorghum-46 KG-USD,12.02
2007-05-15,SAN SALVADOR-SAN SALVADOR-San Salvador-Sorghum-46 KG-USD,11.83
2007-06-15,SAN SALVADOR-SAN SALVADOR-San Salvador-Sorghum-46 KG-USD,15.77
2007-07-15,SAN SALVADOR-SAN SALVADOR-San Salvador-Sorghum-46 KG-USD,17.24
2007-07-15,SAN SALVADOR-SAN SALVADOR-San Salvador-Sorghum-46 KG-USD,17.24
2007-08-15,SAN SALVADOR-SAN SALVADOR-San Salvador-Sorghum-46 KG-USD,17.38
2007-08-15,SAN SALVADOR-SAN SALVADOR-San Salvador-Sorghum-46 KG-USD,17.38
2007-09-15,SAN SALVADOR-SAN SALVADOR-San Salvador-Sorghum-46 KG-USD,17.38
2007-09-15,SAN SALVADOR-SAN SALVADOR-San Salvador-Sorghum-46 KG-USD,17.38
2007-10-15,SAN SALVADOR-SAN SALVADOR-San Salvador-Sorghum-46 KG-USD,16.24
2007-10-15,SAN SALVADOR-SAN SALVADOR-San Salvador-Sorghum-46 KG-USD,16.24
2007-11-15,SAN SALVADOR-SAN SALVADOR-San Salvador-Sorghum-46 KG-USD,14.75
2007-11-15,SAN SALVADOR-SAN SALVADOR-San Salvador-Sorghum-46 KG-USD,14.75
2007-12-15,SAN SALVADOR-SAN SALVADOR-San Salvador-Sorghum-46 KG-USD,14.58
2008-01-15,SAN SALVADOR-SAN SALVADOR-San Salvador-Sorghum-46 KG-USD,14.04
2008-01-15,SAN SALVADOR-SAN SALVADOR-San Salvador-Sorghum-46 KG-USD,14.04
2008-02-15,SAN SALVADOR-SAN SALVADOR-San Salvador-Sorghum-46 KG-USD,14.54
2008-02-15,SAN SALVADOR-SAN SALVADOR-San Salvador-Sorghum-46 KG-USD,14.54
2008-03-15,SAN SALVADOR-SAN SALVADOR-San Salvador-Sorghum-46 KG-USD,16.24
2008-03-15,SAN SALVADOR-SAN SALVADOR-San Salvador-Sorghum-46 KG-USD,16.24
2008-04-15,SAN SALVADOR-SAN SALVADOR-San Salvador-Sorghum-46 KG-USD,18.4
2008-04-15,SAN SALVADOR-SAN SALVADOR-San Salvador-Sorghum-46 KG-USD,18.4
2008-05-15,SAN SALVADOR-SAN SALVADOR-San Salvador-Sorghum-46 KG-USD,18.22
2008-05-15,SAN SALVADOR-SAN SALVADOR-San Salvador-Sorghum-46 KG-USD,18.22
