date,code,usdprice
#date,#meta+code,#value+usd
1997-10-15,Mudug-Gaalkacyo-Gaalkacyo-Milk (camel)-L-SOS,0.1753
1997-11-15,Mudug-Gaalkacyo-Gaalkacyo-Milk (camel)-L-SOS,0.1602
1997-12-15,Mudug-Gaalkacyo-Gaalkacyo-Milk (camel)-L-SOS,0.1586
1998-01-15,Mudug-Gaalkacyo-Gaalkacyo-Milk (camel)-L-SOS,0.2905
1998-02-15,Mudug-Gaalkacyo-Gaalkacyo-Milk (camel)-L-SOS,0.3109
1998-03-15,Mudug-Gaalkacyo-Gaalkacyo-Milk (camel)-L-SOS,0.319
1998-04-15,Mudug-Gaalkacyo-Gaalkacyo-Milk (camel)-L-SOS,0.3262
1998-05-15,Mudug-Gaalkacyo-Gaalkacyo-Milk (camel)-L-SOS,0.3023
1998-06-15,Mudug-Gaalkacyo-Gaalkacyo-Milk (camel)-L-SOS,0.2152
1998-07-15,Mudug-Gaalkacyo-Gaalkacyo-Milk (camel)-L-SOS,0.1855
1998-08-15,Mudug-Gaalkacyo-Gaalkacyo-Milk (camel)-L-SOS,0.1837
1998-09-15,Mudug-Gaalkacyo-Gaalkacyo-Milk (camel)-L-SOS,0.2548
1998-10-15,Mudug-Gaalkacyo-Gaalkacyo-Milk (camel)-L-SOS,0.1317
1998-11-15,Mudug-Gaalkacyo-Gaalkacyo-Milk (camel)-L-SOS,0.1523
1998-12-15,Mudug-Gaalkacyo-Gaalkacyo-Milk (camel)-L-SOS,0.1654
1999-01-15,Mudug-Gaalkacyo-Gaalkacyo-Milk (camel)-L-SOS,0.1317
1999-03-15,Mudug-Gaalkacyo-Gaalkacyo-Milk (camel)-L-SOS,0.1381
1999-05-15,Mudug-Gaalkacyo-Gaalkacyo-Milk (camel)-L-SOS,0.1443
1999-06-15,Mudug-Gaalkacyo-Gaalkacyo-Milk (camel)-L-SOS,0.1683
1999-07-15,Mudug-Gaalkacyo-Gaalkacyo-Milk (camel)-L-SOS,0.1669
1999-08-15,Mudug-Gaalkacyo-Gaalkacyo-Milk (camel)-L-SOS,0.2549
1999-09-15,Mudug-Gaalkacyo-Gaalkacyo-Milk (camel)-L-SOS,0.1477
1999-10-15,Mudug-Gaalkacyo-Gaalkacyo-Milk (camel)-L-SOS,0.1588
1999-11-15,Mudug-Gaalkacyo-Gaalkacyo-Milk (camel)-L-SOS,0.1292
2000-01-15,Mudug-Gaalkacyo-Gaalkacyo-Milk (camel)-L-SOS,0.1208
2000-02-15,Mudug-Gaalkacyo-Gaalkacyo-Milk (camel)-L-SOS,0.1576
2000-03-15,Mudug-Gaalkacyo-Gaalkacyo-Milk (camel)-L-SOS,0.1564
2000-04-15,Mudug-Gaalkacyo-Gaalkacyo-Milk (camel)-L-SOS,0.2755
2000-05-15,Mudug-Gaalkacyo-Gaalkacyo-Milk (camel)-L-SOS,0.267
2000-06-15,Mudug-Gaalkacyo-Gaalkacyo-Milk (camel)-L-SOS,0.191
2000-07-15,Mudug-Gaalkacyo-Gaalkacyo-Milk (camel)-L-SOS,0.3451
2000-08-15,Mudug-Gaalkacyo-Gaalkacyo-Milk (camel)-L-SOS,0.2913
2000-09-15,Mudug-Gaalkacyo-Gaalkacyo-Milk (camel)-L-SOS,0.1494
2000-10-15,Mudug-Gaalkacyo-Gaalkacyo-Milk (camel)-L-SOS,0.2491
2000-11-15,Mudug-Gaalkacyo-Gaalkacyo-Milk (camel)-L-SOS,0.2012
2000-12-15,Mudug-Gaalkacyo-Gaalkacyo-Milk (camel)-L-SOS,0.2049
2001-01-15,Mudug-Gaalkacyo-Gaalkacyo-Milk (camel)-L-SOS,0.1825
2001-02-15,Mudug-Gaalkacyo-Gaalkacyo-Milk (camel)-L-SOS,0.2304
2001-03-15,Mudug-Gaalkacyo-Gaalkacyo-Milk (camel)-L-SOS,0.2503
2001-04-15,Mudug-Gaalkacyo-Gaalkacyo-Milk (camel)-L-SOS,0.2968
2001-05-15,Mudug-Gaalkacyo-Gaalkacyo-Milk (camel)-L-SOS,0.188
2001-06-15,Mudug-Gaalkacyo-Gaalkacyo-Milk (camel)-L-SOS,0.112
2001-07-15,Mudug-Gaalkacyo-Gaalkacyo-Milk (camel)-L-SOS,0.2705
2001-08-15,Mudug-Gaalkacyo-Gaalkacyo-Milk (camel)-L-SOS,0.3248
2001-09-15,Mudug-Gaalkacyo-Gaalkacyo-Milk (camel)-L-SOS,0.3531
