date,code,usdprice
#date,#meta+code,#value+usd
2014-01-15,Manzini-MANZINI NORTH-Manzini-Wheat flour-KG-SZL,1.0348
2014-02-15,Manzini-MANZINI NORTH-Manzini-Wheat flour-KG-SZL,1.02
2014-03-15,Manzini-MANZINI NORTH-Manzini-Wheat flour-KG-SZL,1.0514
2014-04-15,Manzini-MANZINI NORTH-Manzini-Wheat flour-KG-SZL,0.913
2014-05-15,Manzini-MANZINI NORTH-Manzini-Wheat flour-KG-SZL,1.1647
2014-06-15,Manzini-MANZINI NORTH-Manzini-Wheat flour-KG-SZL,1.1404
2014-06-15,Manzini-MANZINI NORTH-Manzini-Wheat flour-KG-SZL,1.1404
2014-07-15,Manzini-MANZINI NORTH-Manzini-Wheat flour-KG-SZL,1.1243
2014-08-15,Manzini-MANZINI NORTH-Manzini-Wheat flour-KG-SZL,1.1381
2014-09-15,Manzini-MANZINI NORTH-Manzini-Wheat flour-KG-SZL,0.9634
2014-10-15,Manzini-MANZINI NORTH-Manzini-Wheat flour-KG-SZL,0.9513
2014-10-15,Manzini-MANZINI NORTH-Manzini-Wheat flour-KG-SZL,0.9513
2014-11-15,Manzini-MANZINI NORTH-Manzini-Wheat flour-KG-SZL,0.9496
2014-11-15,Manzini-MANZINI NORTH-Manzini-Wheat flour-KG-SZL,0.9496
2014-12-15,Manzini-MANZINI NORTH-Manzini-Wheat flour-KG-SZL,0.897
2014-12-15,Manzini-MANZINI NORTH-Manzini-Wheat flour-KG-SZL,0.897
2015-01-15,Manzini-MANZINI NORTH-Manzini-Wheat flour-KG-SZL,0.9095
2015-02-15,Manzini-MANZINI NORTH-Manzini-Wheat flour-KG-SZL,1.0334
2015-03-15,Manzini-MANZINI NORTH-Manzini-Wheat flour-KG-SZL,1.0088
2015-04-15,Manzini-MANZINI NORTH-Manzini-Wheat flour-KG-SZL,0.9997
2015-05-15,Manzini-MANZINI NORTH-Manzini-Wheat flour-KG-SZL,0.9223
2015-06-15,Manzini-MANZINI NORTH-Manzini-Wheat flour-KG-SZL,0.9694
2015-06-15,Manzini-MANZINI NORTH-Manzini-Wheat flour-KG-SZL,0.9694
2015-07-15,Manzini-MANZINI NORTH-Manzini-Wheat flour-KG-SZL,0.9737
2015-08-15,Manzini-MANZINI NORTH-Manzini-Wheat flour-KG-SZL,0.9236
2015-09-15,Manzini-MANZINI NORTH-Manzini-Wheat flour-KG-SZL,0.8899
2015-09-15,Manzini-MANZINI NORTH-Manzini-Wheat flour-KG-SZL,0.8899
2015-10-15,Manzini-MANZINI NORTH-Manzini-Wheat flour-KG-SZL,0.9081
2015-10-15,Manzini-MANZINI NORTH-Manzini-Wheat flour-KG-SZL,0.9081
2015-11-15,Manzini-MANZINI NORTH-Manzini-Wheat flour-KG-SZL,0.8494
2015-11-15,Manzini-MANZINI NORTH-Manzini-Wheat flour-KG-SZL,0.8494
2015-12-15,Manzini-MANZINI NORTH-Manzini-Wheat flour-KG-SZL,0.7462
2016-01-15,Manzini-MANZINI NORTH-Manzini-Wheat flour-KG-SZL,0.7301
