date,code,usdprice
#date,#meta+code,#value+usd
2012-01-15,Rural Damascus-Rural Damascus-Qudsiya-Lentils-KG-SYP,1.145
2012-02-15,Rural Damascus-Rural Damascus-Qudsiya-Lentils-KG-SYP,1.2413
2012-08-15,Rural Damascus-Rural Damascus-Qudsiya-Lentils-KG-SYP,1.471
2012-10-15,Rural Damascus-Rural Damascus-Qudsiya-Lentils-KG-SYP,1.4073
2012-10-15,Rural Damascus-Rural Damascus-Qudsiya-Lentils-KG-SYP,1.4073
2012-11-15,Rural Damascus-Rural Damascus-Qudsiya-Lentils-KG-SYP,1.3658
2013-01-15,Rural Damascus-Rural Damascus-Qudsiya-Lentils-KG-SYP,1.3597
2013-01-15,Rural Damascus-Rural Damascus-Qudsiya-Lentils-KG-SYP,1.3597
2013-03-15,Rural Damascus-Rural Damascus-Qudsiya-Lentils-KG-SYP,1.6592
2013-05-15,Rural Damascus-Rural Damascus-Qudsiya-Lentils-KG-SYP,1.7376
2013-05-15,Rural Damascus-Rural Damascus-Qudsiya-Lentils-KG-SYP,1.7376
2013-05-15,Rural Damascus-Rural Damascus-Qudsiya-Lentils-KG-SYP,1.7376
2013-06-15,Rural Damascus-Rural Damascus-Qudsiya-Lentils-KG-SYP,1.2862
2013-07-15,Rural Damascus-Rural Damascus-Qudsiya-Lentils-KG-SYP,2.0622
2013-07-15,Rural Damascus-Rural Damascus-Qudsiya-Lentils-KG-SYP,2.0622
2013-08-15,Rural Damascus-Rural Damascus-Qudsiya-Lentils-KG-SYP,2.3514
2013-08-15,Rural Damascus-Rural Damascus-Qudsiya-Lentils-KG-SYP,2.3514
2013-11-15,Rural Damascus-Rural Damascus-Qudsiya-Lentils-KG-SYP,2.1228
2014-05-15,Rural Damascus-Rural Damascus-Qudsiya-Lentils-KG-SYP,1.5227
2014-06-15,Rural Damascus-Rural Damascus-Qudsiya-Lentils-KG-SYP,1.4089
2014-07-15,Rural Damascus-Rural Damascus-Qudsiya-Lentils-KG-SYP,1.4071
2014-07-15,Rural Damascus-Rural Damascus-Qudsiya-Lentils-KG-SYP,1.4071
2014-08-15,Rural Damascus-Rural Damascus-Qudsiya-Lentils-KG-SYP,1.4136
2014-08-15,Rural Damascus-Rural Damascus-Qudsiya-Lentils-KG-SYP,1.4136
2014-08-15,Rural Damascus-Rural Damascus-Qudsiya-Lentils-KG-SYP,1.4136
2014-10-15,Rural Damascus-Rural Damascus-Qudsiya-Lentils-KG-SYP,1.336
2014-10-15,Rural Damascus-Rural Damascus-Qudsiya-Lentils-KG-SYP,1.336
2014-10-15,Rural Damascus-Rural Damascus-Qudsiya-Lentils-KG-SYP,1.336
2014-12-15,Rural Damascus-Rural Damascus-Qudsiya-Lentils-KG-SYP,1.8533
2014-12-15,Rural Damascus-Rural Damascus-Qudsiya-Lentils-KG-SYP,1.8533
2015-01-15,Rural Damascus-Rural Damascus-Qudsiya-Lentils-KG-SYP,1.7434
2015-02-15,Rural Damascus-Rural Damascus-Qudsiya-Lentils-KG-SYP,1.6252
2015-02-15,Rural Damascus-Rural Damascus-Qudsiya-Lentils-KG-SYP,1.6252
2015-04-15,Rural Damascus-Rural Damascus-Qudsiya-Lentils-KG-SYP,1.5011
2015-04-15,Rural Damascus-Rural Damascus-Qudsiya-Lentils-KG-SYP,1.5011
2015-05-15,Rural Damascus-Rural Damascus-Qudsiya-Lentils-KG-SYP,1.8322
2015-08-15,Rural Damascus-Rural Damascus-Qudsiya-Lentils-KG-SYP,2.0584
2015-08-15,Rural Damascus-Rural Damascus-Qudsiya-Lentils-KG-SYP,2.0584
2015-08-15,Rural Damascus-Rural Damascus-Qudsiya-Lentils-KG-SYP,2.0584
2015-09-15,Rural Damascus-Rural Damascus-Qudsiya-Lentils-KG-SYP,2.0075
2015-10-15,Rural Damascus-Rural Damascus-Qudsiya-Lentils-KG-SYP,1.9262
2015-10-15,Rural Damascus-Rural Damascus-Qudsiya-Lentils-KG-SYP,1.9262
2015-11-15,Rural Damascus-Rural Damascus-Qudsiya-Lentils-KG-SYP,1.7717
2016-01-15,Rural Damascus-Rural Damascus-Qudsiya-Lentils-KG-SYP,2.1215
2016-02-15,Rural Damascus-Rural Damascus-Qudsiya-Lentils-KG-SYP,1.8654
2016-03-15,Rural Damascus-Rural Damascus-Qudsiya-Lentils-KG-SYP,1.4338
2016-03-15,Rural Damascus-Rural Damascus-Qudsiya-Lentils-KG-SYP,1.4338
2016-04-15,Rural Damascus-Rural Damascus-Qudsiya-Lentils-KG-SYP,1.477
2016-05-15,Rural Damascus-Rural Damascus-Qudsiya-Lentils-KG-SYP,1.5265
2016-06-15,Rural Damascus-Rural Damascus-Qudsiya-Lentils-KG-SYP,1.5377
