date,code,usdprice
#date,#meta+code,#value+usd
2003-10-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.1774
2003-11-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.1602
2003-11-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.1602
2003-12-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.1589
2003-12-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.1589
2004-02-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.1494
2004-03-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.1618
2004-04-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.157
2004-05-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.1784
2004-06-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.1395
2004-06-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.1395
2004-08-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.1675
2004-09-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.1826
2004-09-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.1826
2004-10-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.2165
2004-11-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.2198
2004-11-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.2198
2004-12-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.2366
2005-01-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.2439
2005-01-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.2439
2005-02-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.3687
2005-03-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.412
2005-04-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.402
2005-04-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.402
2005-06-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.3789
2005-07-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.4191
2005-08-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.5003
2005-09-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.4272
2005-10-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.3797
2005-11-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.2397
2005-12-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.2376
2006-02-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.2087
2006-02-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.2087
2006-04-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.2516
2006-06-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.3087
2006-07-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.2933
2006-07-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.2933
2006-08-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.3171
2006-09-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.3333
2006-09-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.3333
2006-11-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.2464
2006-12-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.2349
2007-01-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.2403
2007-02-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.2377
2007-04-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.2237
2007-06-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.3437
2007-07-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.338
2007-07-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.338
2007-08-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.3173
2007-08-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.3173
2007-09-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.3272
2007-10-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.3359
2007-11-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.3478
2008-01-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.3564
2008-01-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.3564
2008-02-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.3539
2008-03-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.3821
2008-03-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.3821
2008-04-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.3928
2008-05-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.4348
2008-06-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.4171
2008-07-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.5023
2008-08-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.5251
2008-08-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.5251
2008-09-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.5527
2008-09-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.5527
2008-10-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.3698
2008-11-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.3127
2008-12-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.4025
2009-01-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.4416
2009-01-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.4416
2009-02-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.3957
2009-02-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.3957
2009-03-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.4128
2009-04-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.4229
2009-05-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.3691
2009-06-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.4607
2009-07-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.5253
2009-07-15,Ndjaména-Ndjamena-Ndjamena-Sorghum (red)-KG-XAF,0.5253
