date,code,usdprice
#date,#meta+code,#value+usd
2001-01-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.1517
2001-02-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.1455
2001-03-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.2426
2001-04-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.3712
2001-06-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.415
2001-07-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.3374
2001-08-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.4255
2001-09-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.184
2001-10-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.2064
2001-11-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.2625
2001-12-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.1553
2002-01-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.1663
2002-02-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.1173
2002-03-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.3006
2002-04-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.2
2002-05-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.1639
2002-05-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.1639
2002-06-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.3907
2002-07-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.3299
2002-08-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.2706
2002-09-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.2507
2002-10-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.2887
2002-11-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.3032
2002-11-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.3032
2002-12-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.2858
2003-01-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.2888
2003-02-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.3045
2003-03-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.3238
2003-04-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.319
2003-05-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.2392
2003-05-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.2392
2003-06-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.2339
2003-07-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.1977
2003-08-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.2018
2003-09-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.2063
2003-10-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.2182
2003-10-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.2182
2003-11-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.1926
2003-11-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.1926
2003-12-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.2248
2004-01-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.2507
2004-02-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.2174
2004-03-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.2476
2004-04-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.2213
2004-05-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.2134
2004-05-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.2134
2004-06-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.2198
2004-06-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.2198
2004-07-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.2447
2004-08-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.2282
2004-09-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.2526
2004-10-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.246
2004-11-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.2712
2004-11-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.2712
2004-12-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.2963
2004-12-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.2963
2005-01-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.2764
2005-02-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.2822
2005-03-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.276
2005-04-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.2818
2005-05-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.3894
2005-05-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.3894
2005-06-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.4103
2005-07-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.454
2005-08-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.4455
2005-09-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.3825
2005-10-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.4421
2005-11-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.4418
2005-12-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.4532
2006-01-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.47
2006-02-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.4428
2006-03-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.4348
2006-04-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.537
2006-04-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.537
2006-05-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.4958
2006-05-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.4958
2006-06-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.5111
2006-07-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.4758
2006-08-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.501
2006-09-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.502
2006-12-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.5405
2007-01-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.5462
2007-02-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.5047
2007-03-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.4982
2007-04-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.4925
2007-05-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.5027
2007-06-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.5457
2007-07-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.5184
2007-08-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.4613
2007-09-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.4823
2007-10-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.5016
2007-11-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.5159
2007-12-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.409
2008-01-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.4713
2008-02-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.4703
2008-03-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.4859
2008-04-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.4737
2008-05-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.502
2008-05-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.502
2008-06-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.5315
2008-06-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.5315
2008-07-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.5839
2008-08-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.531
2008-09-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.4306
2008-10-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.3865
2008-11-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.338
2008-12-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.4196
2009-01-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.3679
2009-02-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.386
2009-03-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.4464
2009-03-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.4464
2009-04-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.4455
2009-05-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.4894
2009-06-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.508
2009-06-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.508
2009-07-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.4816
2009-08-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.4698
2009-09-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.4948
2009-10-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.4617
2009-10-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.4617
2009-11-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.4774
2009-11-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.4774
2009-12-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.4843
2010-01-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.4832
2010-02-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.4176
2010-03-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.3798
2010-04-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.4528
2010-05-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.3905
2010-06-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.4429
2010-07-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.4784
2010-08-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.4704
2010-09-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.485
2010-10-15,Savanes-Tone-Korbongou-Cassava meal (gari)-KG-XOF,0.4616
