date,code,usdprice
#date,#meta+code,#value+usd
2000-01-15,Bangkok-Bangkok Yai-Bangkok-Rice-KG-THB,0.2025
2000-02-15,Bangkok-Bangkok Yai-Bangkok-Rice-KG-THB,0.2027
2000-03-15,Bangkok-Bangkok Yai-Bangkok-Rice-KG-THB,0.1886
2000-04-15,Bangkok-Bangkok Yai-Bangkok-Rice-KG-THB,0.178
2000-05-15,Bangkok-Bangkok Yai-Bangkok-Rice-KG-THB,0.1672
2000-06-15,Bangkok-Bangkok Yai-Bangkok-Rice-KG-THB,0.1644
2000-07-15,Bangkok-Bangkok Yai-Bangkok-Rice-KG-THB,0.1591
2000-08-15,Bangkok-Bangkok Yai-Bangkok-Rice-KG-THB,0.1581
2000-09-15,Bangkok-Bangkok Yai-Bangkok-Rice-KG-THB,0.1557
2000-10-15,Bangkok-Bangkok Yai-Bangkok-Rice-KG-THB,0.1626
2000-11-15,Bangkok-Bangkok Yai-Bangkok-Rice-KG-THB,0.1573
2000-12-15,Bangkok-Bangkok Yai-Bangkok-Rice-KG-THB,0.1562
2001-01-15,Bangkok-Bangkok Yai-Bangkok-Rice-KG-THB,0.1591
2001-02-15,Bangkok-Bangkok Yai-Bangkok-Rice-KG-THB,0.1579
2001-03-15,Bangkok-Bangkok Yai-Bangkok-Rice-KG-THB,0.1479
2001-04-15,Bangkok-Bangkok Yai-Bangkok-Rice-KG-THB,0.1387
2001-05-15,Bangkok-Bangkok Yai-Bangkok-Rice-KG-THB,0.1395
2001-06-15,Bangkok-Bangkok Yai-Bangkok-Rice-KG-THB,0.1448
2001-07-15,Bangkok-Bangkok Yai-Bangkok-Rice-KG-THB,0.1486
2001-08-15,Bangkok-Bangkok Yai-Bangkok-Rice-KG-THB,0.149
2001-09-15,Bangkok-Bangkok Yai-Bangkok-Rice-KG-THB,0.1546
2001-10-15,Bangkok-Bangkok Yai-Bangkok-Rice-KG-THB,0.1519
2001-11-15,Bangkok-Bangkok Yai-Bangkok-Rice-KG-THB,0.1513
2001-12-15,Bangkok-Bangkok Yai-Bangkok-Rice-KG-THB,0.1541
2002-01-15,Bangkok-Bangkok Yai-Bangkok-Rice-KG-THB,0.1663
2002-02-15,Bangkok-Bangkok Yai-Bangkok-Rice-KG-THB,0.1708
2002-03-15,Bangkok-Bangkok Yai-Bangkok-Rice-KG-THB,0.1654
2002-04-15,Bangkok-Bangkok Yai-Bangkok-Rice-KG-THB,0.1681
2002-05-15,Bangkok-Bangkok Yai-Bangkok-Rice-KG-THB,0.1751
2002-06-15,Bangkok-Bangkok Yai-Bangkok-Rice-KG-THB,0.1778
