date,code,usdprice
#date,#meta+code,#value+usd
2022-04-15,Sughd-Panjakent-Panjakent-Wage (qualified labour)-Day-TJS,8.4725
2022-05-15,Sughd-Panjakent-Panjakent-Wage (qualified labour)-Day-TJS,10.265
2022-05-15,Sughd-Panjakent-Panjakent-Wage (qualified labour)-Day-TJS,10.265
2022-06-15,Sughd-Panjakent-Panjakent-Wage (qualified labour)-Day-TJS,11.3855
2022-06-15,Sughd-Panjakent-Panjakent-Wage (qualified labour)-Day-TJS,11.3855
2022-07-15,Sughd-Panjakent-Panjakent-Wage (qualified labour)-Day-TJS,11.4579
2022-08-15,Sughd-Panjakent-Panjakent-Wage (qualified labour)-Day-TJS,9.7484
2022-09-15,Sughd-Panjakent-Panjakent-Wage (qualified labour)-Day-TJS,9.7708
2022-10-15,Sughd-Panjakent-Panjakent-Wage (qualified labour)-Day-TJS,9.7871
2022-11-15,Sughd-Panjakent-Panjakent-Wage (qualified labour)-Day-TJS,9.792
2022-11-15,Sughd-Panjakent-Panjakent-Wage (qualified labour)-Day-TJS,9.792
2022-12-15,Sughd-Panjakent-Panjakent-Wage (qualified labour)-Day-TJS,9.7978
2022-12-15,Sughd-Panjakent-Panjakent-Wage (qualified labour)-Day-TJS,9.7978
2022-12-15,Sughd-Panjakent-Panjakent-Wage (qualified labour)-Day-TJS,9.7978
2023-01-15,Sughd-Panjakent-Panjakent-Wage (qualified labour)-Day-TJS,9.7601
2023-01-15,Sughd-Panjakent-Panjakent-Wage (qualified labour)-Day-TJS,9.7601
2023-01-15,Sughd-Panjakent-Panjakent-Wage (qualified labour)-Day-TJS,9.7601
2023-03-15,Sughd-Panjakent-Panjakent-Wage (qualified labour)-Day-TJS,9.1609
2002-01-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,0.7581
2002-02-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,0.7298
2002-03-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,0.7131
2002-04-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,0.7585
2002-04-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,0.7585
2002-05-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,0.8172
2002-05-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,0.8172
2002-06-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,0.8973
2002-07-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.006
2002-08-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,0.5161
2002-09-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.0414
2002-10-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.2235
2002-11-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,0.9343
2002-11-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,0.9343
2002-12-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,0.9353
2003-01-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,0.7459
2003-04-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.0128
2003-05-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,0.9816
2003-07-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,0.9449
2003-08-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,0.9462
2003-08-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,0.9462
2003-09-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,0.5506
2003-09-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,0.5506
2003-10-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.0661
2003-11-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,0.9976
2003-12-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,0.5218
2004-01-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,0.9893
2004-02-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.025
2004-02-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.025
2004-03-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,0.9574
2004-04-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,0.9538
2004-05-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.0024
2004-06-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.016
2004-07-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,0.902
2004-08-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,0.8796
2004-09-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,0.9795
2004-10-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,0.9582
2004-10-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,0.9582
2004-10-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,0.9582
2005-01-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,0.9085
2005-03-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,0.8874
2005-05-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,0.9108
2005-05-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,0.9108
2005-06-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,0.9571
2005-07-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,0.8925
2005-08-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,0.8823
2005-08-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,0.8823
2005-09-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,0.8794
2005-10-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,0.8797
2005-10-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,0.8797
2005-11-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,0.8776
2005-12-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,0.8836
2005-12-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,0.8836
2005-12-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,0.8836
2006-01-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,0.9052
2006-01-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,0.9052
2006-02-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,0.8565
2006-02-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,0.8565
2006-05-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,0.8391
2006-05-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,0.8391
2006-06-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,0.8304
2006-06-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,0.8304
2006-06-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,0.8304
2006-07-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,0.8142
2006-08-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,0.8553
2006-08-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,0.8553
2006-09-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,0.8868
2006-10-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.0108
2006-11-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.031
2007-01-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.0197
2007-01-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.0197
2007-02-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.0179
2007-02-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.0179
2007-03-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.0178
2007-04-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.0904
2007-05-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.1631
2007-07-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.3112
2007-07-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.3112
2007-08-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.6566
2007-09-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.7426
2007-09-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.7426
2007-10-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.8865
2007-11-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,2.8958
2007-11-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,2.8958
2007-12-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,2.7438
2008-03-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,2.7582
2008-04-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,2.7675
2008-05-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,2.7401
2008-06-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,2.6232
2008-07-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,2.7701
2008-09-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,2.4897
2008-10-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,2.2022
2008-10-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,2.2022
2008-11-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,2.0275
2009-01-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.7707
2009-01-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.7707
2009-01-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.7707
2009-02-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.6994
2009-03-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.6687
2009-05-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.6865
2009-06-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.4816
2009-06-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.4816
2009-06-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.4816
2009-07-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.4788
2009-08-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.4805
2009-09-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.4819
2009-10-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.4886
2009-11-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.4938
2009-11-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.4938
2009-12-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.4902
2010-01-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.4873
2010-02-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.4879
2010-02-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.4879
2010-03-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.4883
2010-04-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.5053
2010-06-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.5537
2010-06-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.5537
2010-07-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.5518
2010-08-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.5519
2010-08-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.5519
2010-09-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.5517
2010-09-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.5517
2010-10-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.591
2010-10-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.591
2010-11-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.7359
2010-11-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.7359
2010-12-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.8176
2010-12-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.8176
2011-01-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.817
2011-01-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.817
2011-03-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.9147
2011-04-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,2.1458
2011-05-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,2.2886
2011-05-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,2.2886
2011-06-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,2.275
2011-07-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,2.2391
2011-07-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,2.2391
2011-08-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,2.2191
2011-09-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,2.2098
2011-09-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,2.2098
2011-10-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,2.2095
2011-10-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,2.2095
2011-11-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,2.2076
2011-11-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,2.2076
2011-11-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,2.2076
2011-12-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,2.2065
2012-02-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.8913
2012-03-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.8122
2012-04-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.8449
2012-05-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.9025
2012-05-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.9025
2012-06-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.7836
2012-07-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.7838
2012-07-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.7838
2012-08-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.7001
2012-09-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.6791
2012-10-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.6792
2012-11-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.6573
2012-11-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.6573
2012-12-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.6362
2012-12-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.6362
2013-01-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.6376
2013-01-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.6376
2013-01-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.6376
2013-02-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.6605
2013-03-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.6827
2013-03-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.6827
2013-04-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.6822
2013-04-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.6822
2013-06-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.5754
2013-07-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.5734
2013-08-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.5731
2013-09-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.573
2013-09-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.573
2013-09-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.573
2013-10-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.5931
2013-10-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.5931
2013-11-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.6759
2013-12-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.6756
2013-12-15,Sughd-Khujand-Khujand-Oil (cotton)-L-TJS,1.6756
