date,code,usdprice
#date,#meta+code,#value+usd
2008-04-15,Bobonaro-Maliana-Bobonaro-Maize-KG-USD,0.25
2008-05-15,Bobonaro-Maliana-Bobonaro-Maize-KG-USD,0.25
2008-06-15,Bobonaro-Maliana-Bobonaro-Maize-KG-USD,0.3
2008-07-15,Bobonaro-Maliana-Bobonaro-Maize-KG-USD,0.3
2008-08-15,Bobonaro-Maliana-Bobonaro-Maize-KG-USD,0.3
2008-09-15,Bobonaro-Maliana-Bobonaro-Maize-KG-USD,0.45
2008-10-15,Bobonaro-Maliana-Bobonaro-Maize-KG-USD,0.3
2008-11-15,Bobonaro-Maliana-Bobonaro-Maize-KG-USD,0.45
2008-12-15,Bobonaro-Maliana-Bobonaro-Maize-KG-USD,0.45
2009-01-15,Bobonaro-Maliana-Bobonaro-Maize-KG-USD,0.45
2009-02-15,Bobonaro-Maliana-Bobonaro-Maize-KG-USD,0.45
2009-03-15,Bobonaro-Maliana-Bobonaro-Maize-KG-USD,0.3
2009-04-15,Bobonaro-Maliana-Bobonaro-Maize-KG-USD,0.4
2009-05-15,Bobonaro-Maliana-Bobonaro-Maize-KG-USD,0.4
2009-06-15,Bobonaro-Maliana-Bobonaro-Maize-KG-USD,0.3
2009-07-15,Bobonaro-Maliana-Bobonaro-Maize-KG-USD,0.32
2009-08-15,Bobonaro-Maliana-Bobonaro-Maize-KG-USD,0.33
2011-10-15,Bobonaro-Maliana-Bobonaro-Maize-KG-USD,0.8098
2011-11-15,Bobonaro-Maliana-Bobonaro-Maize-KG-USD,0.8616
2011-12-15,Bobonaro-Maliana-Bobonaro-Maize-KG-USD,0.9793
2012-01-15,Bobonaro-Maliana-Bobonaro-Maize-KG-USD,0.8195
2012-02-15,Bobonaro-Maliana-Bobonaro-Maize-KG-USD,0.934
2012-03-15,Bobonaro-Maliana-Bobonaro-Maize-KG-USD,0.8746
2012-04-15,Bobonaro-Maliana-Bobonaro-Maize-KG-USD,0.82
2012-06-15,Bobonaro-Maliana-Bobonaro-Maize-KG-USD,0.83
2012-07-15,Bobonaro-Maliana-Bobonaro-Maize-KG-USD,0.96
2012-08-15,Bobonaro-Maliana-Bobonaro-Maize-KG-USD,0.91
2012-09-15,Bobonaro-Maliana-Bobonaro-Maize-KG-USD,0.92
2012-10-15,Bobonaro-Maliana-Bobonaro-Maize-KG-USD,0.91
2012-11-15,Bobonaro-Maliana-Bobonaro-Maize-KG-USD,0.98
2013-01-15,Bobonaro-Maliana-Bobonaro-Maize-KG-USD,0.95
2013-02-15,Bobonaro-Maliana-Bobonaro-Maize-KG-USD,0.95
2013-03-15,Bobonaro-Maliana-Bobonaro-Maize-KG-USD,0.85
2013-05-15,Bobonaro-Maliana-Bobonaro-Maize-KG-USD,0.74
2013-07-15,Bobonaro-Maliana-Bobonaro-Maize-KG-USD,0.76
