date,code,usdprice
#date,#meta+code,#value+usd
2016-01-15,"Tanga-Handeni-Tanga Region-Meat (beef, without bones)-KG-TZS",4.2246
2016-02-15,"Tanga-Handeni-Tanga Region-Meat (beef, without bones)-KG-TZS",4.1942
2016-02-15,"Tanga-Handeni-Tanga Region-Meat (beef, without bones)-KG-TZS",4.1942
2016-03-15,"Tanga-Handeni-Tanga Region-Meat (beef, without bones)-KG-TZS",4.2001
2016-03-15,"Tanga-Handeni-Tanga Region-Meat (beef, without bones)-KG-TZS",4.2001
2016-04-15,"Tanga-Handeni-Tanga Region-Meat (beef, without bones)-KG-TZS",4.1995
2016-06-15,"Tanga-Handeni-Tanga Region-Meat (beef, without bones)-KG-TZS",4.1896
2016-07-15,"Tanga-Handeni-Tanga Region-Meat (beef, without bones)-KG-TZS",4.2029
2016-07-15,"Tanga-Handeni-Tanga Region-Meat (beef, without bones)-KG-TZS",4.2029
2016-08-15,"Tanga-Handeni-Tanga Region-Meat (beef, without bones)-KG-TZS",4.2072
2016-09-15,"Tanga-Handeni-Tanga Region-Meat (beef, without bones)-KG-TZS",4.2174
2017-01-15,"Tanga-Handeni-Tanga Region-Meat (beef, without bones)-KG-TZS",4.0974
2017-01-15,"Tanga-Handeni-Tanga Region-Meat (beef, without bones)-KG-TZS",4.0974
2017-02-15,"Tanga-Handeni-Tanga Region-Meat (beef, without bones)-KG-TZS",4.0971
2017-03-15,"Tanga-Handeni-Tanga Region-Meat (beef, without bones)-KG-TZS",4.1038
2017-05-15,"Tanga-Handeni-Tanga Region-Meat (beef, without bones)-KG-TZS",4.1324
2017-07-15,"Tanga-Handeni-Tanga Region-Meat (beef, without bones)-KG-TZS",4.0344
2017-07-15,"Tanga-Handeni-Tanga Region-Meat (beef, without bones)-KG-TZS",4.0344
2017-07-15,"Tanga-Handeni-Tanga Region-Meat (beef, without bones)-KG-TZS",4.0344
2017-08-15,"Tanga-Handeni-Tanga Region-Meat (beef, without bones)-KG-TZS",4.09
2017-09-15,"Tanga-Handeni-Tanga Region-Meat (beef, without bones)-KG-TZS",4.0944
2017-10-15,"Tanga-Handeni-Tanga Region-Meat (beef, without bones)-KG-TZS",4.0219
2017-11-15,"Tanga-Handeni-Tanga Region-Meat (beef, without bones)-KG-TZS",4.1214
2017-11-15,"Tanga-Handeni-Tanga Region-Meat (beef, without bones)-KG-TZS",4.1214
2017-12-15,"Tanga-Handeni-Tanga Region-Meat (beef, without bones)-KG-TZS",4.079
2017-12-15,"Tanga-Handeni-Tanga Region-Meat (beef, without bones)-KG-TZS",4.079
2017-12-15,"Tanga-Handeni-Tanga Region-Meat (beef, without bones)-KG-TZS",4.079
2018-02-15,"Tanga-Handeni-Tanga Region-Meat (beef, without bones)-KG-TZS",3.9972
2018-03-15,"Tanga-Handeni-Tanga Region-Meat (beef, without bones)-KG-TZS",3.9996
2018-04-15,"Tanga-Handeni-Tanga Region-Meat (beef, without bones)-KG-TZS",3.9902
2018-05-15,"Tanga-Handeni-Tanga Region-Meat (beef, without bones)-KG-TZS",3.952
2018-05-15,"Tanga-Handeni-Tanga Region-Meat (beef, without bones)-KG-TZS",3.952
2018-05-15,"Tanga-Handeni-Tanga Region-Meat (beef, without bones)-KG-TZS",3.952
2018-06-15,"Tanga-Handeni-Tanga Region-Meat (beef, without bones)-KG-TZS",3.9553
2018-06-15,"Tanga-Handeni-Tanga Region-Meat (beef, without bones)-KG-TZS",3.9553
2018-08-15,"Tanga-Handeni-Tanga Region-Meat (beef, without bones)-KG-TZS",3.9548
2018-09-15,"Tanga-Handeni-Tanga Region-Meat (beef, without bones)-KG-TZS",3.954
2018-10-15,"Tanga-Handeni-Tanga Region-Meat (beef, without bones)-KG-TZS",3.5043
