date,code,usdprice
#date,#meta+code,#value+usd
2020-12-15,Yumbe-Aringa-Bidibidi (refugee settlement)-Beans-KG-UGX,0.9035
2021-01-15,Yumbe-Aringa-Bidibidi (refugee settlement)-Beans-KG-UGX,0.9418
2021-01-15,Yumbe-Aringa-Bidibidi (refugee settlement)-Beans-KG-UGX,0.9418
2021-02-15,Yumbe-Aringa-Bidibidi (refugee settlement)-Beans-KG-UGX,0.9214
2021-02-15,Yumbe-Aringa-Bidibidi (refugee settlement)-Beans-KG-UGX,0.9214
2021-03-15,Yumbe-Aringa-Bidibidi (refugee settlement)-Beans-KG-UGX,0.8871
2021-03-15,Yumbe-Aringa-Bidibidi (refugee settlement)-Beans-KG-UGX,0.8871
2021-04-15,Yumbe-Aringa-Bidibidi (refugee settlement)-Beans-KG-UGX,0.919
2021-04-15,Yumbe-Aringa-Bidibidi (refugee settlement)-Beans-KG-UGX,0.919
2021-05-15,Yumbe-Aringa-Bidibidi (refugee settlement)-Beans-KG-UGX,0.9311
2021-06-15,Yumbe-Aringa-Bidibidi (refugee settlement)-Beans-KG-UGX,1.0032
2021-08-15,Yumbe-Aringa-Bidibidi (refugee settlement)-Beans-KG-UGX,0.912
2021-09-15,Yumbe-Aringa-Bidibidi (refugee settlement)-Beans-KG-UGX,0.9011
2021-10-15,Yumbe-Aringa-Bidibidi (refugee settlement)-Beans-KG-UGX,0.8402
2021-11-15,Yumbe-Aringa-Bidibidi (refugee settlement)-Beans-KG-UGX,0.895
2021-12-15,Yumbe-Aringa-Bidibidi (refugee settlement)-Beans-KG-UGX,0.7897
2022-01-15,Yumbe-Aringa-Bidibidi (refugee settlement)-Beans-KG-UGX,0.809
2022-01-15,Yumbe-Aringa-Bidibidi (refugee settlement)-Beans-KG-UGX,0.809
2022-02-15,Yumbe-Aringa-Bidibidi (refugee settlement)-Beans-KG-UGX,0.8747
2022-03-15,Yumbe-Aringa-Bidibidi (refugee settlement)-Beans-KG-UGX,0.7728
2022-04-15,Yumbe-Aringa-Bidibidi (refugee settlement)-Beans-KG-UGX,0.7305
2022-05-15,Yumbe-Aringa-Bidibidi (refugee settlement)-Beans-KG-UGX,0.7434
2022-06-15,Yumbe-Aringa-Bidibidi (refugee settlement)-Beans-KG-UGX,0.9633
2022-07-15,Yumbe-Aringa-Bidibidi (refugee settlement)-Beans-KG-UGX,0.9206
2022-07-15,Yumbe-Aringa-Bidibidi (refugee settlement)-Beans-KG-UGX,0.9206
2022-08-15,Yumbe-Aringa-Bidibidi (refugee settlement)-Beans-KG-UGX,0.9283
2022-08-15,Yumbe-Aringa-Bidibidi (refugee settlement)-Beans-KG-UGX,0.9283
2022-09-15,Yumbe-Aringa-Bidibidi (refugee settlement)-Beans-KG-UGX,1.0765
2022-09-15,Yumbe-Aringa-Bidibidi (refugee settlement)-Beans-KG-UGX,1.0765
2022-10-15,Yumbe-Aringa-Bidibidi (refugee settlement)-Beans-KG-UGX,0.8945
2022-11-15,Yumbe-Aringa-Bidibidi (refugee settlement)-Beans-KG-UGX,0.778
2022-12-15,Yumbe-Aringa-Bidibidi (refugee settlement)-Beans-KG-UGX,0.6841
2023-01-15,Yumbe-Aringa-Bidibidi (refugee settlement)-Beans-KG-UGX,0.9457
2023-02-15,Yumbe-Aringa-Bidibidi (refugee settlement)-Beans-KG-UGX,0.9253
2023-03-15,Yumbe-Aringa-Bidibidi (refugee settlement)-Beans-KG-UGX,0.9214
2023-04-15,Yumbe-Aringa-Bidibidi (refugee settlement)-Beans-KG-UGX,0.9497
2020-12-15,Moyo-Obongi-Palorinya (refugee settlement)-Millet flour-KG-UGX,1.0091
2021-01-15,Moyo-Obongi-Palorinya (refugee settlement)-Millet flour-KG-UGX,0.9281
2021-02-15,Moyo-Obongi-Palorinya (refugee settlement)-Millet flour-KG-UGX,1.1021
2021-03-15,Moyo-Obongi-Palorinya (refugee settlement)-Millet flour-KG-UGX,0.6913
2021-03-15,Moyo-Obongi-Palorinya (refugee settlement)-Millet flour-KG-UGX,0.6913
2021-04-15,Moyo-Obongi-Palorinya (refugee settlement)-Millet flour-KG-UGX,1.2347
2021-05-15,Moyo-Obongi-Palorinya (refugee settlement)-Millet flour-KG-UGX,1.1228
2021-06-15,Moyo-Obongi-Palorinya (refugee settlement)-Millet flour-KG-UGX,1.4332
2021-07-15,Moyo-Obongi-Palorinya (refugee settlement)-Millet flour-KG-UGX,1.2379
2021-08-15,Moyo-Obongi-Palorinya (refugee settlement)-Millet flour-KG-UGX,1.1291
2021-09-15,Moyo-Obongi-Palorinya (refugee settlement)-Millet flour-KG-UGX,1.2343
2021-10-15,Moyo-Obongi-Palorinya (refugee settlement)-Millet flour-KG-UGX,1.3071
2021-10-15,Moyo-Obongi-Palorinya (refugee settlement)-Millet flour-KG-UGX,1.3071
2021-11-15,Moyo-Obongi-Palorinya (refugee settlement)-Millet flour-KG-UGX,1.4581
2022-01-15,Moyo-Obongi-Palorinya (refugee settlement)-Millet flour-KG-UGX,1.1339
2022-02-15,Moyo-Obongi-Palorinya (refugee settlement)-Millet flour-KG-UGX,1.3966
2022-03-15,Moyo-Obongi-Palorinya (refugee settlement)-Millet flour-KG-UGX,1.3208
2022-04-15,Moyo-Obongi-Palorinya (refugee settlement)-Millet flour-KG-UGX,1.3412
2022-05-15,Moyo-Obongi-Palorinya (refugee settlement)-Millet flour-KG-UGX,1.2732
2022-06-15,Moyo-Obongi-Palorinya (refugee settlement)-Millet flour-KG-UGX,1.437
2022-07-15,Moyo-Obongi-Palorinya (refugee settlement)-Millet flour-KG-UGX,1.4633
2022-08-15,Moyo-Obongi-Palorinya (refugee settlement)-Millet flour-KG-UGX,1.4465
2022-09-15,Moyo-Obongi-Palorinya (refugee settlement)-Millet flour-KG-UGX,1.5034
2022-10-15,Moyo-Obongi-Palorinya (refugee settlement)-Millet flour-KG-UGX,1.3058
2022-11-15,Moyo-Obongi-Palorinya (refugee settlement)-Millet flour-KG-UGX,1.3915
2022-12-15,Moyo-Obongi-Palorinya (refugee settlement)-Millet flour-KG-UGX,1.4139
2022-12-15,Moyo-Obongi-Palorinya (refugee settlement)-Millet flour-KG-UGX,1.4139
2023-01-15,Moyo-Obongi-Palorinya (refugee settlement)-Millet flour-KG-UGX,1.351
2023-02-15,Moyo-Obongi-Palorinya (refugee settlement)-Millet flour-KG-UGX,1.4731
