date,code,usdprice
#date,#meta+code,#value+usd
2008-01-15,Dong Thap-Tam Nong-Dong Thap-Rice-KG-VND,0.3382
2008-02-15,Dong Thap-Tam Nong-Dong Thap-Rice-KG-VND,0.3698
2008-03-15,Dong Thap-Tam Nong-Dong Thap-Rice-KG-VND,0.4076
2008-04-15,Dong Thap-Tam Nong-Dong Thap-Rice-KG-VND,0.4563
2008-05-15,Dong Thap-Tam Nong-Dong Thap-Rice-KG-VND,0.5459
2008-06-15,Dong Thap-Tam Nong-Dong Thap-Rice-KG-VND,0.5048
2008-07-15,Dong Thap-Tam Nong-Dong Thap-Rice-KG-VND,0.4518
2008-08-15,Dong Thap-Tam Nong-Dong Thap-Rice-KG-VND,0.4294
2008-09-15,Dong Thap-Tam Nong-Dong Thap-Rice-KG-VND,0.3826
2008-10-15,Dong Thap-Tam Nong-Dong Thap-Rice-KG-VND,0.3502
2008-11-15,Dong Thap-Tam Nong-Dong Thap-Rice-KG-VND,0.2737
2008-12-15,Dong Thap-Tam Nong-Dong Thap-Rice-KG-VND,0.2883
2009-01-15,Dong Thap-Tam Nong-Dong Thap-Rice-KG-VND,0.2878
2009-02-15,Dong Thap-Tam Nong-Dong Thap-Rice-KG-VND,0.345
2009-03-15,Dong Thap-Tam Nong-Dong Thap-Rice-KG-VND,0.3655
2009-04-15,Dong Thap-Tam Nong-Dong Thap-Rice-KG-VND,0.3596
2009-05-15,Dong Thap-Tam Nong-Dong Thap-Rice-KG-VND,0.3478
2009-06-15,Dong Thap-Tam Nong-Dong Thap-Rice-KG-VND,0.3382
2009-07-15,Dong Thap-Tam Nong-Dong Thap-Rice-KG-VND,0.3294
2009-08-15,Dong Thap-Tam Nong-Dong Thap-Rice-KG-VND,0.3315
2009-09-15,Dong Thap-Tam Nong-Dong Thap-Rice-KG-VND,0.3139
2009-10-15,Dong Thap-Tam Nong-Dong Thap-Rice-KG-VND,0.3308
2009-11-15,Dong Thap-Tam Nong-Dong Thap-Rice-KG-VND,0.399
2009-12-15,Dong Thap-Tam Nong-Dong Thap-Rice-KG-VND,0.444
2010-01-15,Dong Thap-Tam Nong-Dong Thap-Rice-KG-VND,0.4479
2010-02-15,Dong Thap-Tam Nong-Dong Thap-Rice-KG-VND,0.4012
2010-03-15,Dong Thap-Tam Nong-Dong Thap-Rice-KG-VND,0.3343
2010-04-15,Dong Thap-Tam Nong-Dong Thap-Rice-KG-VND,0.3123
2010-05-15,Dong Thap-Tam Nong-Dong Thap-Rice-KG-VND,0.3182
2010-06-15,Dong Thap-Tam Nong-Dong Thap-Rice-KG-VND,0.3118
2010-07-15,Dong Thap-Tam Nong-Dong Thap-Rice-KG-VND,0.2887
2010-08-15,Dong Thap-Tam Nong-Dong Thap-Rice-KG-VND,0.3345
2010-09-15,Dong Thap-Tam Nong-Dong Thap-Rice-KG-VND,0.3825
2010-10-15,Dong Thap-Tam Nong-Dong Thap-Rice-KG-VND,0.398
2010-11-15,Dong Thap-Tam Nong-Dong Thap-Rice-KG-VND,0.4321
2010-12-15,Dong Thap-Tam Nong-Dong Thap-Rice-KG-VND,0.4466
2011-01-15,Dong Thap-Tam Nong-Dong Thap-Rice-KG-VND,0.4428
2011-02-15,Dong Thap-Tam Nong-Dong Thap-Rice-KG-VND,0.415
2011-03-15,Dong Thap-Tam Nong-Dong Thap-Rice-KG-VND,0.3874
2011-04-15,Dong Thap-Tam Nong-Dong Thap-Rice-KG-VND,0.408
2011-05-15,Dong Thap-Tam Nong-Dong Thap-Rice-KG-VND,0.4129
2011-06-15,Dong Thap-Tam Nong-Dong Thap-Rice-KG-VND,0.4163
2011-07-15,Dong Thap-Tam Nong-Dong Thap-Rice-KG-VND,0.4277
2011-08-15,Dong Thap-Tam Nong-Dong Thap-Rice-KG-VND,0.4763
2011-09-15,Dong Thap-Tam Nong-Dong Thap-Rice-KG-VND,0.4697
2011-10-15,Dong Thap-Tam Nong-Dong Thap-Rice-KG-VND,0.4914
2011-11-15,Dong Thap-Tam Nong-Dong Thap-Rice-KG-VND,0.4969
2011-12-15,Dong Thap-Tam Nong-Dong Thap-Rice-KG-VND,0.4275
2012-01-15,Dong Thap-Tam Nong-Dong Thap-Rice-KG-VND,0.3949
2012-02-15,Dong Thap-Tam Nong-Dong Thap-Rice-KG-VND,0.3649
2012-03-15,Dong Thap-Tam Nong-Dong Thap-Rice-KG-VND,0.3509
2012-04-15,Dong Thap-Tam Nong-Dong Thap-Rice-KG-VND,0.356
2012-05-15,Dong Thap-Tam Nong-Dong Thap-Rice-KG-VND,0.3583
2012-06-15,Dong Thap-Tam Nong-Dong Thap-Rice-KG-VND,0.3464
2012-07-15,Dong Thap-Tam Nong-Dong Thap-Rice-KG-VND,0.3516
2012-08-15,Dong Thap-Tam Nong-Dong Thap-Rice-KG-VND,0.372
2012-09-15,Dong Thap-Tam Nong-Dong Thap-Rice-KG-VND,0.3822
2012-10-15,Dong Thap-Tam Nong-Dong Thap-Rice-KG-VND,0.4009
2012-11-15,Dong Thap-Tam Nong-Dong Thap-Rice-KG-VND,0.3988
2012-12-15,Dong Thap-Tam Nong-Dong Thap-Rice-KG-VND,0.3721
2013-01-15,Dong Thap-Tam Nong-Dong Thap-Rice-KG-VND,0.3565
2013-02-15,Dong Thap-Tam Nong-Dong Thap-Rice-KG-VND,0.3416
2013-03-15,Dong Thap-Tam Nong-Dong Thap-Rice-KG-VND,0.3551
2013-04-15,Dong Thap-Tam Nong-Dong Thap-Rice-KG-VND,0.3496
