date,code,usdprice
#date,#meta+code,#value+usd
2015-02-15,Hajjah-Abs-Hajjah City-Wheat flour-KG-YER,0.4651
2015-03-15,Hajjah-Abs-Hajjah City-Wheat flour-KG-YER,0.4558
2015-04-15,Hajjah-Abs-Hajjah City-Wheat flour-KG-YER,0.6516
2015-05-15,Hajjah-Abs-Hajjah City-Wheat flour-KG-YER,0.6567
2015-06-15,Hajjah-Abs-Hajjah City-Wheat flour-KG-YER,0.7914
2015-07-15,Hajjah-Abs-Hajjah City-Wheat flour-KG-YER,0.6054
2015-08-15,Hajjah-Abs-Hajjah City-Wheat flour-KG-YER,0.6307
2015-09-15,Hajjah-Abs-Hajjah City-Wheat flour-KG-YER,0.6799
2015-10-15,Hajjah-Abs-Hajjah City-Wheat flour-KG-YER,0.6566
2015-11-15,Hajjah-Abs-Hajjah City-Wheat flour-KG-YER,0.5918
2015-12-15,Hajjah-Abs-Hajjah City-Wheat flour-KG-YER,0.6518
2016-01-15,Hajjah-Abs-Hajjah City-Wheat flour-KG-YER,0.6241
2016-02-15,Hajjah-Abs-Hajjah City-Wheat flour-KG-YER,0.6983
2016-03-15,Hajjah-Abs-Hajjah City-Wheat flour-KG-YER,0.6985
2016-04-15,Hajjah-Abs-Hajjah City-Wheat flour-KG-YER,0.6126
2016-05-15,Hajjah-Abs-Hajjah City-Wheat flour-KG-YER,0.5873
2016-06-15,Hajjah-Abs-Hajjah City-Wheat flour-KG-YER,0.6127
2016-07-15,Hajjah-Abs-Hajjah City-Wheat flour-KG-YER,0.809
2016-08-15,Hajjah-Abs-Hajjah City-Wheat flour-KG-YER,0.7609
2016-09-15,Hajjah-Abs-Hajjah City-Wheat flour-KG-YER,1900.0
2016-10-15,Hajjah-Abs-Hajjah City-Wheat flour-KG-YER,0.5955
2016-11-15,Hajjah-Abs-Hajjah City-Wheat flour-KG-YER,0.6947
2016-12-15,Hajjah-Abs-Hajjah City-Wheat flour-KG-YER,0.6968
2017-01-15,Hajjah-Abs-Hajjah City-Wheat flour-KG-YER,0.6081
2017-02-15,Hajjah-Abs-Hajjah City-Wheat flour-KG-YER,0.8014
2017-03-15,Hajjah-Abs-Hajjah City-Wheat flour-KG-YER,0.8018
2017-04-15,Hajjah-Abs-Hajjah City-Wheat flour-KG-YER,0.5658
2017-05-15,Hajjah-Abs-Hajjah City-Wheat flour-KG-YER,0.8006
2017-06-15,Hajjah-Abs-Hajjah City-Wheat flour-KG-YER,0.7407
2017-07-15,Hajjah-Abs-Hajjah City-Wheat flour-KG-YER,0.513
2017-08-15,Hajjah-Abs-Hajjah City-Wheat flour-KG-YER,0.6807
2017-09-15,Hajjah-Abs-Hajjah City-Wheat flour-KG-YER,0.6708
2017-10-15,Hajjah-Abs-Hajjah City-Wheat flour-KG-YER,0.4272
2017-11-15,Hajjah-Abs-Hajjah City-Wheat flour-KG-YER,0.7606
2017-12-15,Hajjah-Abs-Hajjah City-Wheat flour-KG-YER,0.8008
2018-01-15,Hajjah-Abs-Hajjah City-Wheat flour-KG-YER,0.8006
2018-02-15,Hajjah-Abs-Hajjah City-Wheat flour-KG-YER,0.8006
2018-03-15,Hajjah-Abs-Hajjah City-Wheat flour-KG-YER,0.8008
2018-04-15,Hajjah-Abs-Hajjah City-Wheat flour-KG-YER,0.415
2018-05-15,Hajjah-Abs-Hajjah City-Wheat flour-KG-YER,0.8
2018-06-15,Hajjah-Abs-Hajjah City-Wheat flour-KG-YER,0.8403
2018-07-15,Hajjah-Abs-Hajjah City-Wheat flour-KG-YER,0.4455
2018-08-15,Hajjah-Abs-Hajjah City-Wheat flour-KG-YER,0.9604
2018-09-15,Hajjah-Abs-Hajjah City-Wheat flour-KG-YER,0.4327
2018-10-15,Hajjah-Abs-Hajjah City-Wheat flour-KG-YER,1.3608
2018-11-15,Hajjah-Abs-Hajjah City-Wheat flour-KG-YER,1.3131
