date,code,usdprice
#date,#meta+code,#value+usd
2000-01-15,Gauteng-West Rand District Municipality-Randfontein-Wheat-KG-ZAR,0.1042
2000-02-15,Gauteng-West Rand District Municipality-Randfontein-Wheat-KG-ZAR,0.1084
2000-03-15,Gauteng-West Rand District Municipality-Randfontein-Wheat-KG-ZAR,0.1063
2000-04-15,Gauteng-West Rand District Municipality-Randfontein-Wheat-KG-ZAR,0.1043
2000-05-15,Gauteng-West Rand District Municipality-Randfontein-Wheat-KG-ZAR,0.1158
2000-06-15,Gauteng-West Rand District Municipality-Randfontein-Wheat-KG-ZAR,0.1158
2000-07-15,Gauteng-West Rand District Municipality-Randfontein-Wheat-KG-ZAR,0.1105
2000-08-15,Gauteng-West Rand District Municipality-Randfontein-Wheat-KG-ZAR,0.1078
2000-09-15,Gauteng-West Rand District Municipality-Randfontein-Wheat-KG-ZAR,0.1175
2000-10-15,Gauteng-West Rand District Municipality-Randfontein-Wheat-KG-ZAR,0.1277
2000-11-15,Gauteng-West Rand District Municipality-Randfontein-Wheat-KG-ZAR,0.128
2000-12-15,Gauteng-West Rand District Municipality-Randfontein-Wheat-KG-ZAR,0.1279
2001-01-15,Gauteng-West Rand District Municipality-Randfontein-Wheat-KG-ZAR,0.1343
2001-02-15,Gauteng-West Rand District Municipality-Randfontein-Wheat-KG-ZAR,0.1286
2001-03-15,Gauteng-West Rand District Municipality-Randfontein-Wheat-KG-ZAR,0.1309
2001-04-15,Gauteng-West Rand District Municipality-Randfontein-Wheat-KG-ZAR,0.1315
2001-05-15,Gauteng-West Rand District Municipality-Randfontein-Wheat-KG-ZAR,0.1341
2001-06-15,Gauteng-West Rand District Municipality-Randfontein-Wheat-KG-ZAR,0.1285
2001-07-15,Gauteng-West Rand District Municipality-Randfontein-Wheat-KG-ZAR,0.1245
2001-08-15,Gauteng-West Rand District Municipality-Randfontein-Wheat-KG-ZAR,0.1212
2001-09-15,Gauteng-West Rand District Municipality-Randfontein-Wheat-KG-ZAR,0.1212
2001-10-15,Gauteng-West Rand District Municipality-Randfontein-Wheat-KG-ZAR,0.1232
2001-11-15,Gauteng-West Rand District Municipality-Randfontein-Wheat-KG-ZAR,0.1257
2001-12-15,Gauteng-West Rand District Municipality-Randfontein-Wheat-KG-ZAR,0.1265
